file,ISIN,conId,Symbol,Rows,FirstDate,LastDate,Has2019,Has2020,Has2021,Has2022,Has2023,CoronaUsable,Y2022Usable,Full2019_2023,Error
AU000000BWP3_4242291.csv,AU000000BWP3,4242291,BWP,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000BXB1_41881274.csv,AU000000BXB1,41881274,BXB,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000CAA9_12888918.csv,AU000000CAA9,12888918,CAA,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000CAR3_185186710.csv,AU000000CAR3,185186710,CAR,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000CAV5_44188723.csv,AU000000CAV5,44188723,CAV,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000CBA7_4036818.csv,AU000000CBA7,4036818,CBA,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000CCE7_258666221.csv,AU000000CCE7,258666221,CCE,1248,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000CCP3_14062936.csv,AU000000CCP3,14062936,CCP,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000CGF5_14062921.csv,AU000000CGF5,14062921,CGF,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000CGO7_14062930.csv,AU000000CGO7,14062930,CGO,1264,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000CHN7_44188792.csv,AU000000CHN7,44188792,CHN,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000CIA2_147665638.csv,AU000000CIA2,147665638,CIA,1254,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000CKF7_92135994.csv,AU000000CKF7,92135994,CKF,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000CLA6_115280255.csv,AU000000CLA6,115280255,CLA,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000CNJ3_131013321.csv,AU000000CNJ3,131013321,CNJ,1264,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000COB8_264541204.csv,AU000000COB8,264541204,COB,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000COH5_12370091.csv,AU000000COH5,12370091,COH,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000CPU5_11289549.csv,AU000000CPU5,11289549,CPU,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000CSL8_11294198.csv,AU000000CSL8,11294198,CSL,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000CTP7_44187931.csv,AU000000CTP7,44187931,CTP,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000CVN8_14062547.csv,AU000000CVN8,14062547,CVN,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000CWY3_221020224.csv,AU000000CWY3,221020224,CWY,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000CXO2_83959183.csv,AU000000CXO2,83959183,CXO,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000CXU9_60749530.csv,AU000000CXU9,60749530,CXU,1263,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000CYP7_138421210.csv,AU000000CYP7,138421210,CYP,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000DCC9_153515849.csv,AU000000DCC9,153515849,DCC,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000DDR5_83002563.csv,AU000000DDR5,83002563,DDR,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000DEV5_298212850.csv,AU000000DEV5,298212850,DEV,1264,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000DKM1_162217993.csv,AU000000DKM1,162217993,DKM,1264,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000DMP0_44200583.csv,AU000000DMP0,44200583,DMP,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000DOW2_12888945.csv,AU000000DOW2,12888945,DOW,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000DRO2_237880551.csv,AU000000DRO2,237880551,DRO,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000DTL4_14062993.csv,AU000000DTL4,14062993,DTL,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000DTZ4_254134438.csv,AU000000DTZ4,254134438,DTZ,1215,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000DUB3_178891941.csv,AU000000DUB3,178891941,DUB,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000DXS1_49281421.csv,AU000000DXS1,49281421,DXS,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000DYL4_44200604.csv,AU000000DYL4,44200604,DYL,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000EHL7_41179280.csv,AU000000EHL7,41179280,EHL,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000ELD6_59696057.csv,AU000000ELD6,59696057,ELD,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
AU000000ELT2_71336924.csv,AU000000ELT2,71336924,ELT,1265,2019-01-02,2023-12-29,True,True,True,True,True,True,True,True,
