"ISIN","Symbol","ConId","Currency","PrimaryExchange","BestExchange","Rows","FirstDate","LastDate","LastClose"
"IE0009W21NT4","WDESGE","725323361","EUR","EBS","SMART","89","2026-04-10","2026-08-14","269.14"
"IE000ASNLWH9","BPGE","793651072","EUR","FWB2","SMART","90","2026-04-10","2026-08-14","11.502"
"IE000JJPY166","YCSH","745200069","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","15.5817"
"IE000K5F6EL4","RDVY","797511636","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","23.01"
"IE000P2CI9P3","EURP","877926440","EUR","AEB","SMART","53","2026-04-27","2026-08-13","5.4"
"IE000UJSC3C9","B29I","822735378","EUR","EBS","SMART","90","2026-04-10","2026-08-14","5.1274"
"IE000X1GW0A7","WIMI","875859416","EUR","IBIS2","SMART","83","2026-04-21","2026-08-14","9.539"
"IE000YBGJ9I4","MEGA","745200074","EUR","GETTEX2","SMART","90","2026-04-10","2026-08-14","11.95"
"IE000YR7N5U8","OBUS","828647088","EUR","IBIS2","SMART","71","2026-04-08","2026-08-14","10.172"
"IE00B41RYL63","SYBA","89402010","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","53.49"
"IE00B428Z604","IS0P","107113306","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","148.914"
"IE00B459R192","SYBU","89385014","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","80.164"
"IE00B4694Z11","SYBS","107439884","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","58.536"
"IE00B4L5ZY03","EUNS","78999745","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","105.186"
"IE00B4WXJG34","EUN9","68490060","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","141.254"
"IE00B4WXJH41","EUN8","68490071","EUR","IBIS2","SMART","91","2026-04-09","2026-08-14","143.1"
"IE00B53H0131","CCUSAS","82610049","USD","EBS","SMART","88","2026-04-10","2026-08-14","144.32"
"IE00B5MJYB88","SC0Q","74991829","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","142.82"
"IE00B5MJYC95","SC0R","74991839","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","284.2"
"IE00B5MJYY16","SC0T","74992061","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","416.06"
"IE00B5MTWH09","SC0V","74991795","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","434.64"
"IE00B5MTWY73","SC0W","74991798","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","871.5"
"IE00B5MTXJ97","SC0Y","74991819","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","261.5"
"IE00B5MTXK03","SC0Z","74991864","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","407.9"
"IE00B5MTY077","SC00","74991968","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","636.4"
"IE00B5MTY309","SC01","74992143","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","752"
"IE00B5MTYK77","SC02","80814674","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","530.3"
