ISIN,Status,conId,Symbol,LocalSymbol,SecurityType,PrimaryExchange,Exchange,Currency,LongName,FirstHistoricalDate,ContractMatches,Error
AT0000758305,OK,14089130,PAL,PAL,STK,VSE,SMART,EUR,PALFINGER AG,1999-06-04,1,
AT0000762406,OK,36764552,FKA,FKA,STK,VSE,SMART,EUR,FRAUENTHAL HOLDING AG,1991-06-10,1,
AT0000785407,OK,11662299,FAA,FAA,STK,IBIS,SMART,EUR,FABASOFT AG,2006-08-02,1,
AT0000785555,OK,10129289,SEM,SEM,STK,VSE,SMART,EUR,SEMPERIT AG HOLDING,1999-07-26,1,
AT0000815402,OK,36764666,UBS1,UBS,STK,VSE,SMART,EUR,UBM DEVELOPMENT AG,1988-05-02,1,
AT0000821103,OK,14317525,UQA,UQA,STK,VSE,SMART,EUR,UNIQA INSURANCE GROUP AG,1990-12-10,1,
AT0000824206,OK,899097786,ABE,ABE,STK,VSE,SMART,EUR,AB EFFECTENBETEILIGUNGEN AG,2026-07-07,1,
AT0000827209,OK,49283737,WXF,WXF,STK,VSE,SMART,EUR,WARIMPEX FINANZ- UND BETEILI,2008-02-22,1,
AT0000831706,OK,3306521,WIE,WIE,STK,VSE,SMART,EUR,WIENERBERGER AG,1987-01-02,1,
AT0000834007,OK,3306490,WOL,WOL,STK,VSE,SMART,EUR,WOLFORD AG,1995-02-14,1,
AT0000837307,OK,40735360,ZAG,ZAG,STK,VSE,SMART,EUR,ZUMTOBEL GROUP AG,2006-05-12,1,
AT0000908504,OK,35352636,VIG,VIG,STK,VSE,SMART,EUR,VIENNA INSURANCE GROUP AG,2005-06-20,1,
AT0000922554,OK,36764456,ROS,ROS,STK,VSE,SMART,EUR,ROSENBAUER INTERNATIONAL AG,1994-09-27,1,
AT0000937503,OK,3306495,VOE,VOE,STK,VSE,SMART,EUR,VOESTALPINE AG,1995-10-09,1,
AT0000938204,OK,3306498,MMK,MMK,STK,VSE,SMART,EUR,MAYR-MELNHOF KARTON AG,1994-04-22,1,
AT0000946652,OK,33203234,SBO,SBO,STK,VSE,SMART,EUR,SBO AG,2003-03-27,1,
AT0000A00XX9,OK,72217360,PYT,PYT,STK,VSE,SMART,EUR,POLYTEC HOLDING AG,2010-01-29,1,
AT0000A021K7,OK,899097774,HST,HST,STK,VSE,SMART,EUR,HUTTER & SCHRANTZ STAHLBAU A,2026-07-07,1,
AT0000A0E9W5,OK,62078268,KTN,KTN,STK,IBIS,SMART,EUR,KONTRON AG,2009-07-28,2,
AT0000A25NJ6,OK,403944996,WAH,WOLF,STK,VSE,SMART,EUR,WOLFTANK GROUP AG,2020-02-14,1,
AT0000A3FW25,OK,738529074,4X0,4X0,STK,IBIS,SMART,EUR,STEYR MOTORS AG,2024-10-31,1,
AT0000APOST4,OK,39165470,POST,POST,STK,VSE,SMART,EUR,OESTERREICHISCHE POST AG,2006-05-31,2,
AT0000BAWAG2,NO_HEAD_TIMESTAMP,294207034,BG,BG,STK,VSE,SMART,EUR,BAWAG GROUP AG,,1,162: Service für historische Marktdaten - Fehlermeldung:Query failed
AT0000KTMI02,OK,319015382,BMAG,BMAG,STK,EBS,SMART,CHF,BAJAJ MOBILITY AG,2018-05-25,2,
AT000ADDIKO0,OK,374619368,ADKO,ADKO,STK,VSE,SMART,EUR,ADDIKO BANK AG,2019-07-15,1,
AT000AGRANA3,OK,327302377,AGR,AGR,STK,VSE,SMART,EUR,AGRANA BETEILIGUNGS AG,1991-07-10,1,
AT000KAPSCH9,OK,69052886,KTCG,KTCG,STK,VSE,SMART,EUR,KAPSCH TRAFFICCOM AG,2009-09-24,1,
AT0VASGROUP3,OK,899097799,VAS,VAS,STK,VSE,SMART,EUR,VAS AG,2026-07-07,1,
ATMARINOMED6,NO_HEAD_TIMESTAMP,352446374,MARI,MARI,STK,VSE,SMART,EUR,MARINOMED BIOTECH AG,,1,162: Service für historische Marktdaten - Fehlermeldung:Query failed
