ISIN,conId,Symbol,Currency,Status,Rows,FirstDate,LastDate,Error
BMG5479L1072,804727439,LEX,GBP,FAILED,0,,,162: Service für historische Marktdaten - Fehlermeldung:Die HMDS-Anfrage ergab keine Daten: LEX@SMART Trades
CA0869121024,791760005,TQQQ,CAD,FAILED,0,,,162: Service für historische Marktdaten - Fehlermeldung:Die HMDS-Anfrage ergab keine Daten: TQQQ@SMART Trades
CA37958W3012,572137981,MJRX.X,CAD,FAILED,0,,,162: Service für historische Marktdaten - Fehlermeldung:Unknown contract
CA46016U1084,272954082,IPCO,SEK,FAILED,0,,,162: Service für historische Marktdaten - Fehlermeldung:No market data permissions for SFB STK
CA50077N1024,290283075,PNG,CAD,FAILED,0,,,Timeout
CA55025J1030,878376259,LMCU,CAD,FAILED,0,,,162: Service für historische Marktdaten - Fehlermeldung:Die HMDS-Anfrage ergab keine Daten: LMCU@SMART Trades
HK0000069689,479614785,7A2,EUR,FAILED,0,,,"2174: Warnung!: Sie haben eine Anfrage mit Datum-Zeit-Attributen ohne explizite Zeitzone übermittelt. Bitte verwenden Sie das Format yyyymmdd-hh:mm:ss in UTC oder verwenden Sie die Zeitzone des Instruments, z. B. US/Eastern. Die Funktion, die eine implizite Zeitzone erlaubt, wird in der nächsten API-Version entfernt. | 162: Service für historische Marktdaten - Fehlermeldung:Die HMDS-Anfrage ergab keine Daten: 7A2@SMART Trades"
HK0000077468,603518857,F6H,EUR,OK,265,2022-12-16,2023-12-29,
HK0000083920,105804334,SRI,EUR,OK,1272,2019-01-02,2023-12-29,
HK0000093390,244149640,HKTTF,USD,OK,1254,2019-01-02,2023-12-29,
HK0000172855,603520051,G9D,EUR,OK,265,2022-12-16,2023-12-29,
HK0000218211,603506896,1HH,EUR,OK,265,2022-12-16,2023-12-29,
HK0000255361,603516050,5UM,EUR,OK,265,2022-12-16,2023-12-29,
HK0000295763,603519322,MRU3,EUR,OK,265,2022-12-16,2023-12-29,
HK0000311099,603506941,640,EUR,OK,265,2022-12-16,2023-12-29,
HK0000504214,603514681,3LL,EUR,OK,265,2022-12-16,2023-12-29,
HK0000608585,603525555,NWDA,EUR,OK,265,2022-12-16,2023-12-29,
HK0000658531,603507083,S2P,EUR,OK,265,2022-12-16,2023-12-29,
