ISIN,Stage,Error
AU000000IRD4,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000IRE2,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000IVR6,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000IVX4,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000JAT4,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000JPR6,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000KAR6,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000KCN1,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000KGL6,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000KGN2,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000KPO1,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000KSN7,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000KZR3,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000LIT3,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000LKE1,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000LLC3,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000LOV7,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000LTR4,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000LYC6,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000MAT8,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000MCM9,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000MCP2,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000MDI5,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000MEI3,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000MFG4,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000MGR9,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000MGX7,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000MHC9,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000MIN4,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000MLX7,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000MMI6,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000MMS5,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000MND5,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000MPL3,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000MQG1,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000MSB8,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000MTC4,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
