ISIN,Stage,Error
ES0119037010,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0122060314,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0124244E34,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0125140A14,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0125220311,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0126962069,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0127797019,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0130625512,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0130670112,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0130960018,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0132105018,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0132945017,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0133421000,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0134950F36,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0136463017,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0137650018,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0137998A12,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0139140174,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0140609019,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0141571192,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0142090317,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0144580Y14,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0148396007,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0150480194,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0152768612,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0154653911,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0157097017,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0157261019,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0162600003,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0165359029,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0167050915,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0167733015,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0169501022,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0170884417,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0171613005,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES01717430J3,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0171996087,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0173093024,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0173358039,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0173516115,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0173908015,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0175438003,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0175589029,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0176252718,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0178165017,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0178430E18,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0180850416,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0180907000,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0180918015,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0182280018,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0182870214,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0183304080,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0183746314,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
ES0184262212,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI0009000251,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI0009000400,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI0009000665,HeadTimestamp,"162: Service für historische Marktdaten - Fehlermeldung:No market data permissions for GETTEX, SWB, TGATE STK"
FI0009000681,HeadTimestamp,"162: Service für historische Marktdaten - Fehlermeldung:No market data permissions for AQEUDE, GETTEX, SWB, TGATE STK"
FI0009002422,HeadTimestamp,"162: Service für historische Marktdaten - Fehlermeldung:No market data permissions for SWB, TGATE STK"
FI0009002943,HeadTimestamp,"162: Service für historische Marktdaten - Fehlermeldung:No market data permissions for GETTEX, SWB, TGATE STK"
FI0009004741,ContractDetails,200: Es wurde keine Wertpapierdefinition zu der Anfrage gefunden
FI0009004824,HeadTimestamp,"162: Service für historische Marktdaten - Fehlermeldung:No market data permissions for GETTEX, SWB, TGATE STK"
FI0009005078,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI0009005318,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI0009005870,HeadTimestamp,"162: Service für historische Marktdaten - Fehlermeldung:No market data permissions for SWB, TGATE STK"
FI0009005953,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI0009005961,HeadTimestamp,"162: Service für historische Marktdaten - Fehlermeldung:No market data permissions for GETTEX, SWB, TGATE STK"
FI0009005987,HeadTimestamp,"162: Service für historische Marktdaten - Fehlermeldung:No market data permissions for SWB, TGATE STK"
FI0009006308,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI0009006407,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI0009007132,HeadTimestamp,"162: Service für historische Marktdaten - Fehlermeldung:No market data permissions for SWB, TGATE STK"
FI0009007264,HeadTimestamp,"162: Service für historische Marktdaten - Fehlermeldung:No market data permissions for GETTEX, SWB, TGATE STK"
FI0009007355,ContractDetails,200: Es wurde keine Wertpapierdefinition zu der Anfrage gefunden
FI0009007611,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:No market data permissions for SFB STK
FI0009007637,ContractDetails,200: Es wurde keine Wertpapierdefinition zu der Anfrage gefunden
FI0009007694,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI0009007728,ContractDetails,200: Es wurde keine Wertpapierdefinition zu der Anfrage gefunden
FI0009007884,HeadTimestamp,"162: Service für historische Marktdaten - Fehlermeldung:No market data permissions for GETTEX, SWB, TGATE STK"
FI0009007991,ContractDetails,200: Es wurde keine Wertpapierdefinition zu der Anfrage gefunden
FI0009008650,ContractDetails,200: Es wurde keine Wertpapierdefinition zu der Anfrage gefunden
FI0009008924,ContractDetails,200: Es wurde keine Wertpapierdefinition zu der Anfrage gefunden
FI0009009377,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI0009010862,ContractDetails,200: Es wurde keine Wertpapierdefinition zu der Anfrage gefunden
FI0009010912,HeadTimestamp,"162: Service für historische Marktdaten - Fehlermeldung:No market data permissions for SWB, TGATE STK"
FI0009013114,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI0009013296,HeadTimestamp,"162: Service für historische Marktdaten - Fehlermeldung:No market data permissions for GETTEX, SWB, TGATE STK"
FI0009013403,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI0009014351,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI0009014377,HeadTimestamp,"162: Service für historische Marktdaten - Fehlermeldung:No market data permissions for GETTEX, SWB, TGATE STK"
FI0009014575,HeadTimestamp,"162: Service für historische Marktdaten - Fehlermeldung:No market data permissions for SWB, TGATE STK"
FI0009800098,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI0009800643,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI0009900187,ContractDetails,200: Es wurde keine Wertpapierdefinition zu der Anfrage gefunden
FI0009900401,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:No market data permissions for SWB STK
FI0009900682,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000029905,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000043435,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000049812,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000058870,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000074984,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000092523,ContractDetails,200: Es wurde keine Wertpapierdefinition zu der Anfrage gefunden
FI4000092556,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000150016,ContractDetails,200: Es wurde keine Wertpapierdefinition zu der Anfrage gefunden
FI4000153309,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000153465,ContractDetails,200: Es wurde keine Wertpapierdefinition zu der Anfrage gefunden
FI4000197934,HeadTimestamp,"162: Service für historische Marktdaten - Fehlermeldung:No market data permissions for SWB, TGATE STK"
FI4000198031,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000206750,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000233317,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000251897,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000251954,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000252127,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000270350,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000283130,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000292438,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000297767,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:No market data permissions for SFB STK
FI4000301585,ContractDetails,200: Es wurde keine Wertpapierdefinition zu der Anfrage gefunden
FI4000306733,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000306873,HeadTimestamp,"162: Service für historische Marktdaten - Fehlermeldung:No market data permissions for SWB, TGATE STK"
FI4000312251,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000330972,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000369608,ContractDetails,200: Es wurde keine Wertpapierdefinition zu der Anfrage gefunden
FI4000369947,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000390943,ContractDetails,200: Es wurde keine Wertpapierdefinition zu der Anfrage gefunden
FI4000410881,ContractDetails,200: Es wurde keine Wertpapierdefinition zu der Anfrage gefunden
FI4000476783,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000476866,ContractDetails,200: Es wurde keine Wertpapierdefinition zu der Anfrage gefunden
FI4000480215,ContractDetails,200: Es wurde keine Wertpapierdefinition zu der Anfrage gefunden
FI4000480454,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000490875,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000506811,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000506902,ContractDetails,200: Es wurde keine Wertpapierdefinition zu der Anfrage gefunden
FI4000507124,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000507595,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000507934,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000508023,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000511506,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000511563,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000512488,ContractDetails,200: Es wurde keine Wertpapierdefinition zu der Anfrage gefunden
FI4000512496,ContractDetails,200: Es wurde keine Wertpapierdefinition zu der Anfrage gefunden
FI4000512678,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000513015,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000517461,ContractDetails,200: Es wurde keine Wertpapierdefinition zu der Anfrage gefunden
FI4000517602,ContractDetails,200: Es wurde keine Wertpapierdefinition zu der Anfrage gefunden
FI4000519236,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000523675,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000533005,ContractDetails,200: Es wurde keine Wertpapierdefinition zu der Anfrage gefunden
FI4000592282,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FI4000592464,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:No market data permissions for SWB STK
FO0000000179,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000030074,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000031577,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000031775,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000032526,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000032658,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000033003,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000033219,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000033599,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000033888,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000033904,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000034894,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000035164,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000035370,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000035719,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000036675,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000036816,ContractDetails,200: Es wurde keine Wertpapierdefinition zu der Anfrage gefunden
FR0000038242,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000038465,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000038531,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000038606,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000039091,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000039109,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000039299,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000044448,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000044471,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000045072,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000045601,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000045619,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000050049,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000050353,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000050809,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000051070,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000051807,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000052292,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000052680,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000053027,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000053225,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000053324,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000053381,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000053506,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000054132,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000054231,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000054322,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000054470,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000054900,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000060071,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000060303,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000060873,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000061137,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000062796,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000062978,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000063737,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000063935,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000064164,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000064297,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000064578,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000065278,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000065484,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000065864,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000066441,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000066540,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000066607,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000066672,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000066722,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000066755,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000071797,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000071946,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000072373,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000072597,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000073272,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000073298,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000074072,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000074148,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000074254,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000074759,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000074783,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000075442,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000075954,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000076655,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000076861,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000076952,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000077919,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000120073,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000120107,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000120172,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000120271,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000120321,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000120404,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000120503,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000120560,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000120578,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000120628,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000120644,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000120669,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000120693,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000120859,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000120966,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000121014,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000121121,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000121204,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000121220,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000121329,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000121485,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000121667,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000121691,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000121709,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000121964,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000121972,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000124141,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000124414,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000125007,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000125338,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000125486,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000127771,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000130213,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000130403,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000130452,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000130577,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000130809,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000131104,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000131757,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000131906,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000133308,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0000185423,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0004007813,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0004016699,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
FR0004023208,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
