date,nav,cash,cash_frac,n_stocks,trades,eligible_count
2019-02-06,0.9999999999999999,0.9999999999999999,1.0,0,0,1181
2019-02-07,0.9990000000000002,0.0,0.0,100,100,1166
2019-02-08,0.9952124278108837,0.0,0.0,100,102,990
2019-02-11,0.9989360075170458,0.0,0.0,100,102,1172
2019-02-12,1.0097642987984308,0.0,0.0,100,102,1240
2019-02-13,1.0142202217673821,0.0,0.0,100,104,1189
2019-02-14,1.0150524122950912,0.0,0.0,100,106,1168
2019-02-15,1.0200894517113877,0.0,0.0,100,108,1221
2019-02-18,1.0247123327633594,0.0,0.0,100,108,1351
2019-02-19,1.02845592870941,0.0,0.0,100,110,1294
2019-02-20,1.0308328286727064,0.0,0.0,100,110,1309
2019-02-21,1.0295374908565775,0.0,0.0,100,110,1259
2019-02-22,1.045589109157689,0.0,0.0,100,110,1117
2019-02-25,1.0551316939067161,0.0,0.0,100,112,1116
2019-02-26,1.0588644776821143,0.0,0.0,100,114,1203
2019-02-27,1.0534483068975917,0.0,0.0,100,114,1198
2019-02-28,1.052161868662825,0.0,0.0,100,114,1155
2019-03-01,1.058202865103071,0.0,0.0,100,114,1103
2019-03-04,1.061668204248021,0.0,0.0,100,116,1208
2019-03-05,1.0612249410655452,0.0,0.0,100,116,1164
2019-03-06,1.0557727115062638,0.0,0.0,100,116,1114
2019-03-07,1.0422978486199908,0.0,0.0,100,116,937
2019-03-08,1.034542272312968,0.0,0.0,100,116,813
2019-03-11,1.0480301752461894,0.0,0.0,100,116,848
2019-03-12,1.0474894831250041,0.0,0.0,100,118,793
2019-03-13,1.0489888357392776,0.0,0.0,100,122,799
2019-03-14,1.0528663237183111,0.0,0.0,100,124,961
2019-03-15,1.0605432295561397,0.0,0.0,100,126,1148
2019-03-18,1.0674715742779566,0.0,0.0,100,130,1181
2019-03-19,1.0685886703227128,0.0,0.0,100,130,1058
2019-03-20,1.0641329166335047,0.0,0.0,100,130,943
2019-03-21,1.0765713769808516,0.0,0.0,100,136,987
2019-03-22,1.0534401293975872,0.0,0.0,100,136,775
2019-03-25,1.04251007197776,0.0,0.0,100,138,592
2019-03-26,1.0483683991049835,0.0,0.0,100,140,695
2019-03-27,1.0395194843498203,0.0,0.0,100,144,662
2019-03-28,1.042081924549441,0.0,0.0,100,144,629
2019-03-29,1.0555630466093613,0.0,0.0,100,146,652
2019-04-01,1.074112899935201,0.0,0.0,100,146,739
2019-04-02,1.0786694092969624,0.0,0.0,100,146,796
2019-04-03,1.0926085867343265,0.0,0.0,100,148,920
2019-04-04,1.081669974262342,0.0,0.0,100,148,935
2019-04-05,1.0880086829488698,0.0,0.0,100,148,904
2019-04-08,1.091799757639747,0.0,0.0,100,148,845
2019-04-09,1.0854472697736566,0.0,0.0,100,152,829
2019-04-10,1.0917130142144684,0.0,0.0,100,152,856
2019-04-11,1.0915055113791288,0.0,0.0,100,154,1008
2019-04-12,1.097971282027949,0.0,0.0,100,154,1137
2019-04-15,1.0978015609096676,0.0,0.0,100,158,1136
2019-04-16,1.0991273320452652,0.0,0.0,100,158,1083
2019-04-17,1.091442158157808,0.0,0.0,100,160,1082
2019-04-18,1.0906123154692269,0.0,0.0,100,160,1050
2019-04-19,1.0914356452547551,0.0,0.0,100,160,968
2019-04-22,1.0980743128818893,0.0,0.0,100,164,900
2019-04-23,1.1083469007615383,0.0,0.0,100,164,943
2019-04-24,1.107852242255061,0.0,0.0,100,164,965
2019-04-25,1.1031607748252887,0.0,0.0,100,164,906
2019-04-26,1.0995729413021278,0.0,0.0,100,166,1022
2019-04-29,1.1025072905183528,0.0,0.0,100,168,1131
2019-04-30,1.1056633374191753,0.0,0.0,100,168,1025
2019-05-01,1.0974509435480615,0.0,0.0,100,168,1012
2019-05-02,1.0911126591084406,0.0,0.0,100,168,794
2019-05-03,1.0995315920631366,0.0,0.0,100,186,771
2019-05-06,1.0857017645866385,0.0,0.0,100,186,614
2019-05-07,1.0748877823293066,0.0,0.0,100,188,473
2019-05-08,1.0787347868000643,0.0,0.0,100,194,416
2019-05-09,1.0665390423876078,0.0,0.0,100,200,370
2019-05-10,1.0672363904745261,0.0,0.0,100,202,392
2019-05-13,1.04225396795164,0.0,0.0,100,204,319
2019-05-14,1.0665987244396566,0.0,0.0,100,206,395
2019-05-15,1.0743506719523475,0.0,0.0,100,208,403
2019-05-16,1.086702611991869,0.0,0.0,100,208,454
2019-05-17,1.0861074857678525,0.0,0.0,100,210,421
2019-05-20,1.0714198998889979,0.0,0.0,100,216,379
2019-05-21,1.0830138423022524,0.0,0.0,100,224,390
2019-05-22,1.0796855660365532,0.0,0.0,100,224,435
2019-05-23,1.0611844347266575,0.0,0.0,100,228,386
2019-05-24,1.068785311480958,0.0,0.0,100,234,387
2019-05-27,1.0745727039298127,0.0,0.0,100,234,389
2019-05-28,1.0806130033695076,0.0,0.0,100,236,348
2019-05-29,1.0627224553930121,0.0,0.0,100,240,302
2019-05-30,1.064392565414619,0.0,0.0,100,242,310
2019-05-31,1.0594087633331635,0.0,0.0,100,242,282
2019-06-03,1.0429627100440673,0.0,0.0,100,246,337
2019-06-04,1.0452657581679188,0.0,0.0,100,250,327
2019-06-05,1.052789405643012,0.0,0.0,100,256,400
2019-06-06,1.0533051234457294,0.0,0.0,100,256,356
2019-06-07,1.0683456721061453,0.0,0.0,100,268,384
2019-06-10,1.0724414315164288,0.0,0.0,100,274,414
2019-06-11,1.0804683834642859,0.0,0.0,100,274,592
2019-06-12,1.082851579917804,0.0,0.0,100,280,631
2019-06-13,1.0779966549534212,0.0,0.0,100,282,703
2019-06-14,1.0762256449044239,0.0,0.0,100,286,672
2019-06-17,1.07412847352254,0.0,0.0,100,286,772
2019-06-18,1.0823517824866271,0.0,0.0,100,286,766
2019-06-19,1.084982636132329,0.0,0.0,100,292,767
2019-06-20,1.093083396105222,0.0,0.0,100,298,739
2019-06-21,1.0883215411099343,0.0,0.0,100,300,683
2019-06-24,1.0838790090197647,0.0,0.0,100,300,762
2019-06-25,1.069305636765514,0.0,0.0,100,304,647
