date,slot,action,key,ISIN,Symbol,conId,Currency,price,slot_value,momentum_signal,avg_turnover_signal,reason
2019-02-07,31,BUY,136254493,US9224751084,VEEV,136254493,USD,112.94,0.01,0.34247206543025,1075294.689,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-07,32,BUY,257677602,BMG1738J1247,BWO,257677602,NOK,34.6184,0.01,0.33912117998360314,34657942.3794,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-07,33,BUY,73340158,GB00B01JLR99,NANO,73340158,GBP,49.0,0.01,0.3342105263157895,6911648.032499999,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-07,34,BUY,272356196,US6792951054,OKTA,272356196,USD,80.0,0.01,0.33224489795918366,1254494.5655,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-07,35,BUY,4726021,US83088M1027,SWKS,4726021,USD,81.0,0.01,0.3309006211180121,1335792.9934999999,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-07,36,BUY,498843743,US3696043013,GE,498843743,USD,48.0958,0.01,0.33036845081790944,24419746.45547,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-07,37,BUY,292735630,CA2960061091,ERO,292735630,CAD,12.98,0.01,0.33005893909626716,2851029.4815,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-07,38,BUY,37655664,US1696561059,CMG,37655664,USD,11.6892,0.01,0.3255362848014607,2691045.93873,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-07,39,BUY,131115040,GB00BBT32N39,FDEV,131115040,GBP,966.0,0.01,0.3227513227513228,19158721.0,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-07,40,BUY,168812158,US94419L1017,W,168812158,USD,115.12,0.01,0.32253785785343214,1231574.75,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-07,41,BUY,316073742,US2561631068,DOCU,316073742,USD,50.7,0.01,0.3156687898089172,1003588.3690000002,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-07,42,BUY,599374251,CA00217Y1043,ATS,599374251,CAD,18.68,0.01,0.31557093425605554,6190513.970000001,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-07,43,BUY,169544810,US4435731009,HUBS,169544810,USD,160.39,0.01,0.3154533844189018,1736509.8195,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-07,44,BUY,30795505,NO0010234552,AKER,30795505,NOK,606.0,0.01,0.31385281385281383,69025877.7,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-07,45,BUY,42469783,AU000000IGO4,IGO,42469783,AUD,4.563,0.01,0.31127191761758977,9697950.32308,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-07,46,BUY,321324061,CA39342L1085,GTII,321324061,CAD,15.38,0.01,0.3112068965517243,3796167.3589999997,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-07,47,BUY,9939,US5951121038,MU,9939,USD,39.25,0.01,0.30805687203791465,30353248.638499998,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-07,48,BUY,212671971,US8522341036,XYZ,212671971,USD,71.5,0.01,0.3047001620745544,10828962.8685,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-07,49,BUY,4458974,CA89346D1078,TA,4458974,CAD,7.39,0.01,0.30388692579505294,4649969.1695,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-07,50,BUY,16454492,US9831341071,WYNN,16454492,USD,126.0,0.01,0.3014851485148513,2216924.836,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-07,51,BUY,34789102,NO0003921009,DNO,34789102,NOK,16.94,0.01,0.30100076982294066,85272346.699,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-07,52,BUY,109911821,US81762P1021,NOW,109911821,USD,45.2,0.01,0.300057636887608,4010251.1949999994,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-07,53,BUY,4762,US0970231058,BA,4762,USD,403.15,0.01,0.29968374446552803,12938473.2575,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-07,54,BUY,48845314,GB0030927254,ASC,48845314,GBP,3010.0,0.01,0.29957805907172985,1845869040.0,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-07,55,BUY,13681,US9581021055,WDC,13681,USD,34.3647,0.01,0.29905370459250546,8394380.171935001,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-07,56,BUY,85504809,GB0002259116,GHH,85504809,GBP,1470.0,0.01,0.295774647887324,3089549.9,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-07,57,BUY,62078268,AT0000A0E9W5,KTN,62078268,EUR,20.78,0.01,0.295668549905838,5710139.139,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-07,58,BUY,326398585,US7223041028,PDD,326398585,USD,25.85,0.01,0.29533917858790937,1280450.2135,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-07,59,BUY,215461594,NL0011585146,RACE,215461594,EUR,109.0,0.01,0.29276467868700884,61490542.395500004,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-07,60,BUY,195014116,CA82509L1076,SHOP,195014116,USD,17.145,0.01,0.29099427381572096,1413337.3007999999,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-07,61,BUY,12615675,PTJMT0AE0001,JMT,12615675,EUR,13.215,0.01,0.29077669902912606,11849557.52275,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-07,62,BUY,261734723,FR0013227113,SOI,261734723,EUR,66.15,0.01,0.2853107344632768,12800095.34,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-07,63,BUY,166090175,US01609W1027,BABA,166090175,USD,166.15,0.01,0.2837038700501535,19398248.718000002,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-07,64,BUY,6580387,DE0006452907,NEM,6580387,EUR,39.8,0.01,0.28272280913383163,15383776.874805,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-02-07,65,BUY,44202644,AU000000MGX7,MGX,44202644,AUD,0.68,0.01,0.2815533980582525,1017904.5352500001,TOP_LIQUID_MOMENTUM_CANDIDATE
