Variant,MomentumDays,SellThreshold,BuyThreshold,TransactionCost,Crash,PeakDate,TroughDate,ReturnToTrough,StocksAtTrough,CashAtTrough,EligibleAtTrough,ReturnPeakToPlus3M,StocksPlus3M,CashPlus3M,ReturnPeakToPlus6M,StocksPlus6M,CashPlus6M,ReturnPeakToPlus12M,StocksPlus12M,CashPlus12M
mom15_sell12_5_buy1_0,15,-0.125,0.01,0.001,Corona2020,2020-02-19,2020-03-23,-0.27857116620209765,100,0.0,90,-0.10438620790226338,100,0.0,-0.042843335396007265,100,0.0,0.23129467547272897,100,0.0
mom15_sell12_5_buy1_0,15,-0.125,0.01,0.001,Bear2022,2022-01-03,2022-10-12,-0.057636138333273634,100,0.0,368,-0.0021816852142713117,100,0.0,-0.060152680861383256,100,0.0,-0.10097415189730674,100,0.0
mom15_sell12_5_buy2_0,15,-0.125,0.02,0.001,Corona2020,2020-02-19,2020-03-23,-0.27340870060491396,100,0.0,83,-0.12026412565152245,100,0.0,-0.06992813963013844,100,0.0,0.1206028394378389,100,0.0
mom15_sell12_5_buy2_0,15,-0.125,0.02,0.001,Bear2022,2022-01-03,2022-10-12,-0.07793787578873168,100,0.0,288,-0.06365933880241204,100,0.0,-0.09528319678778896,100,0.0,-0.023588066736682123,100,0.0
mom15_sell12_5_buy3_0,15,-0.125,0.03,0.001,Corona2020,2020-02-19,2020-03-23,-0.27361753651166065,100,0.0,71,-0.08395667158989017,100,0.0,-0.03237053611191454,100,0.0,0.1624162354889367,100,0.0
mom15_sell12_5_buy3_0,15,-0.125,0.03,0.001,Bear2022,2022-01-03,2022-10-12,0.030597268635044417,100,0.0,242,0.0803861589410233,100,0.0,0.04509927484270859,100,0.0,0.07950830036856749,100,0.0
mom15_sell15_0_buy1_0,15,-0.15,0.01,0.001,Corona2020,2020-02-19,2020-03-23,-0.3095693877778579,100,0.0,90,-0.11496608660651153,100,0.0,-0.050980127862837565,100,0.0,0.12052188305203626,100,0.0
mom15_sell15_0_buy1_0,15,-0.15,0.01,0.001,Bear2022,2022-01-03,2022-10-12,0.006580989918138602,100,0.0,368,0.03145958479071198,100,0.0,0.028941106482904377,100,0.0,0.08374916374611963,100,0.0
mom15_sell15_0_buy2_0,15,-0.15,0.02,0.001,Corona2020,2020-02-19,2020-03-23,-0.2988808667851749,100,0.0,83,-0.10297115092712561,100,0.0,0.01591547373191271,100,0.0,0.1882286293144022,100,0.0
mom15_sell15_0_buy2_0,15,-0.15,0.02,0.001,Bear2022,2022-01-03,2022-10-12,-0.105895148328368,100,0.0,288,-0.09594521903548192,100,0.0,-0.08860511794128945,100,0.0,-0.147773192611105,100,0.0
mom15_sell15_0_buy3_0,15,-0.15,0.03,0.001,Corona2020,2020-02-19,2020-03-23,-0.2963475553149968,100,0.0,71,-0.13065516782516906,100,0.0,-0.05299698459032709,100,0.0,0.02687452800161716,100,0.0
mom15_sell15_0_buy3_0,15,-0.15,0.03,0.001,Bear2022,2022-01-03,2022-10-12,-0.142505211016004,100,0.0,242,-0.11147681479393012,100,0.0,-0.12941506951781134,100,0.0,-0.11741332826613704,100,0.0
mom15_sell17_5_buy1_0,15,-0.175,0.01,0.001,Corona2020,2020-02-19,2020-03-23,-0.288407114371547,100,0.0,90,-0.12670780141187066,100,0.0,-0.04911136129746296,100,0.0,0.07521770025449492,100,0.0
mom15_sell17_5_buy1_0,15,-0.175,0.01,0.001,Bear2022,2022-01-03,2022-10-12,-0.1357345092489186,100,0.0,368,-0.09272826683091351,100,0.0,-0.10119994025445467,100,0.0,-0.07617172250322901,100,0.0
mom15_sell17_5_buy2_0,15,-0.175,0.02,0.001,Corona2020,2020-02-19,2020-03-23,-0.28644087979126365,100,0.0,83,-0.1199061870483985,100,0.0,-0.051978590060541396,100,0.0,0.04181512564278189,100,0.0
mom15_sell17_5_buy2_0,15,-0.175,0.02,0.001,Bear2022,2022-01-03,2022-10-12,-0.14187115662288874,100,0.0,288,-0.09358522417634607,100,0.0,-0.12520200983532648,100,0.0,-0.04350965338510526,100,0.0
mom15_sell17_5_buy3_0,15,-0.175,0.03,0.001,Corona2020,2020-02-19,2020-03-23,-0.27737413832398217,100,0.0,71,-0.11981356964409517,100,0.0,-0.02210309744197403,100,0.0,0.11824726069000335,100,0.0
mom15_sell17_5_buy3_0,15,-0.175,0.03,0.001,Bear2022,2022-01-03,2022-10-12,-0.16190619947311347,100,0.0,242,-0.10280435275687505,100,0.0,-0.12791200752998144,100,0.0,-0.08039841011446924,100,0.0
mom20_sell12_5_buy1_0,20,-0.125,0.01,0.001,Corona2020,2020-02-19,2020-03-23,-0.27583314488263055,86,0.13174108187441624,54,-0.11476064384527906,100,0.0,-0.054724169555350755,100,0.0,0.39684582875618646,100,0.0
mom20_sell12_5_buy1_0,20,-0.125,0.01,0.001,Bear2022,2022-01-03,2022-10-12,-0.11021305806194748,100,0.0,265,-0.09232039418057136,100,0.0,-0.05477820791359023,100,0.0,-0.006922399618183528,100,0.0
mom20_sell12_5_buy2_0,20,-0.125,0.02,0.001,Corona2020,2020-02-19,2020-03-23,-0.27217162509105186,76,0.24512491329302047,50,-0.14613749293779021,100,0.0,-0.06588775394893642,100,0.0,0.4288897098591893,100,0.0
mom20_sell12_5_buy2_0,20,-0.125,0.02,0.001,Bear2022,2022-01-03,2022-10-12,-0.13903885675962546,100,0.0,214,-0.08982426927848286,100,0.0,-0.11077584290298392,100,0.0,-0.14871484248479583,100,0.0
mom20_sell12_5_buy3_0,20,-0.125,0.03,0.001,Corona2020,2020-02-19,2020-03-23,-0.2695140854177569,70,0.29447737524072004,48,-0.11661927095123892,100,0.0,-0.018571210614741984,100,0.0,0.44449035039710605,100,0.0
mom20_sell12_5_buy3_0,20,-0.125,0.03,0.001,Bear2022,2022-01-03,2022-10-12,-0.14504615340690485,100,0.0,173,-0.0998914057625292,100,0.0,-0.13075825793334028,100,0.0,-0.143937474192103,100,0.0
mom20_sell15_0_buy1_0,20,-0.15,0.01,0.001,Corona2020,2020-02-19,2020-03-23,-0.2903281709415063,92,0.07946256502636932,54,-0.0987639210730129,100,0.0,0.021948946697160077,100,0.0,0.3654956459710468,100,0.0
mom20_sell15_0_buy1_0,20,-0.15,0.01,0.001,Bear2022,2022-01-03,2022-10-12,-0.19086192969810545,100,0.0,265,-0.17818754086145572,100,0.0,-0.23599440931323212,100,0.0,-0.19924499133906015,100,0.0
mom20_sell15_0_buy2_0,20,-0.15,0.02,0.001,Corona2020,2020-02-19,2020-03-23,-0.28919363781965624,81,0.17353976891939707,50,-0.10076046461409227,100,0.0,0.00940736105630191,100,0.0,0.37069216726201804,100,0.0
mom20_sell15_0_buy2_0,20,-0.15,0.02,0.001,Bear2022,2022-01-03,2022-10-12,-0.012621123166498549,100,0.0,214,0.07379686016013443,100,0.0,0.049400358003544476,100,0.0,0.2967677651928289,100,0.0
mom20_sell15_0_buy3_0,20,-0.15,0.03,0.001,Corona2020,2020-02-19,2020-03-23,-0.2864202849952311,75,0.23235970800376995,48,-0.11522147848039732,100,0.0,-0.03134254949816173,100,0.0,0.3061853199439779,100,0.0
mom20_sell15_0_buy3_0,20,-0.15,0.03,0.001,Bear2022,2022-01-03,2022-10-12,-0.10268381518408576,100,0.0,173,-0.028361204042298582,100,0.0,-0.07733865896662184,100,0.0,0.3374952444216046,100,0.0
mom20_sell17_5_buy1_0,20,-0.175,0.01,0.001,Corona2020,2020-02-19,2020-03-23,-0.30486499217644114,96,0.04394766052099145,54,-0.08869318390107717,100,0.0,0.03260738544450281,100,0.0,0.4047597695209202,100,0.0
mom20_sell17_5_buy1_0,20,-0.175,0.01,0.001,Bear2022,2022-01-03,2022-10-12,-0.18336363239775055,100,0.0,265,-0.13944426394779397,100,0.0,-0.18045314868125717,100,0.0,-0.14852498453924345,100,0.0
mom20_sell17_5_buy2_0,20,-0.175,0.02,0.001,Corona2020,2020-02-19,2020-03-23,-0.3026734500386975,85,0.13806306506930408,50,-0.12200641427398495,100,0.0,-0.024770490822776714,100,0.0,0.2612753169656685,100,0.0
mom20_sell17_5_buy2_0,20,-0.175,0.02,0.001,Bear2022,2022-01-03,2022-10-12,-0.16805031108486068,100,0.0,214,-0.12292976153343382,100,0.0,-0.18708786278748213,100,0.0,-0.15546349397536574,100,0.0
mom20_sell17_5_buy3_0,20,-0.175,0.03,0.001,Corona2020,2020-02-19,2020-03-23,-0.2981496659955871,78,0.20474935545705109,48,-0.07520843929698429,100,0.0,0.01640258275069084,100,0.0,0.2790854530209266,100,0.0
