Variant,MomentumDays,SellThreshold,BuyThreshold,MinTurnover,MinPrice,TransactionCost,TotalReturn,CAGR,MaxDrawdown,Volatility,Sharpe,Trades,AvgCash,MaxCash,AvgStocks,MinStocks,AvgEligibleCount,MinEligibleCount,ReturnToDrawdown,Corona_ReturnToTrough,Corona_StocksAtTrough,Corona_CashAtTrough,Corona_ReturnPlus3M,Corona_ReturnPlus6M,Corona_ReturnPlus12M,Bear22_ReturnToTrough,Bear22_StocksAtTrough,Bear22_CashAtTrough,Bear22_ReturnPlus3M,Bear22_ReturnPlus6M,Bear22_ReturnPlus12M
mom15_sell12_5_buy1_0,15,-0.125,0.01,1000000,0.5,0.001,0.41646257275706366,0.07345699689568441,-0.2800824618208916,0.1700783937174334,0.48841987448397306,4820,0.0019338385779089755,1.0,99.79547228727557,0,1041.8524590163934,26,0.2622691775062268,-0.27857116620209765,100,0.0,-0.10438620790226338,-0.042843335396007265,0.23129467547272897,-0.057636138333273634,100,0.0,-0.0021816852142713117,-0.060152680861383256,-0.10097415189730674
mom15_sell12_5_buy2_0,15,-0.125,0.02,1000000,0.5,0.001,0.2784107345854345,0.05127804763699362,-0.27601003247027767,0.1686941997930727,0.3713713658698272,4806,0.002266203616961243,1.0,99.76112412177986,0,907.3161592505854,23,0.18578327453555707,-0.27340870060491396,100,0.0,-0.12026412565152245,-0.06992813963013844,0.1206028394378389,-0.07793787578873168,100,0.0,-0.06365933880241204,-0.09528319678778896,-0.023588066736682123
mom15_sell12_5_buy3_0,15,-0.125,0.03,1000000,0.5,0.001,0.6238884492018566,0.10374374381025109,-0.27622049733981047,0.16630437173435414,0.6575892885092361,4760,0.002697137471255868,1.0,99.7111631537861,0,780.2287275565964,19,0.37558307514964767,-0.27361753651166065,100,0.0,-0.08395667158989017,-0.03237053611191454,0.1624162354889367,0.030597268635044417,100,0.0,0.0803861589410233,0.04509927484270859,0.07950830036856749
mom15_sell15_0_buy1_0,15,-0.15,0.01,1000000,0.5,0.001,0.5473668385257815,0.09295002704998323,-0.3095693877778579,0.17089194339776997,0.588784556259241,3716,0.0016532287368356562,1.0,99.82669789227167,0,1041.8524590163934,26,0.30025587386787317,-0.3095693877778579,100,0.0,-0.11496608660651153,-0.050980127862837565,0.12052188305203626,0.006580989918138602,100,0.0,0.03145958479071198,0.028941106482904377,0.08374916374611963
mom15_sell15_0_buy2_0,15,-0.15,0.02,1000000,0.5,0.001,0.21086194648905687,0.039723063580876294,-0.3681125912096913,0.16756270368385384,0.30895410845473126,3702,0.001986209354651953,1.0,99.79625292740047,0,907.3161592505854,23,0.10791009199206796,-0.2988808667851749,100,0.0,-0.10297115092712561,0.01591547373191271,0.1882286293144022,-0.105895148328368,100,0.0,-0.09594521903548192,-0.08860511794128945,-0.147773192611105
mom15_sell15_0_buy3_0,15,-0.15,0.03,1000000,0.5,0.001,0.13602455649323253,0.026305556699191435,-0.3092530898564879,0.16122098288296635,0.23671629822742402,3642,0.0026054846534373046,1.0,99.73770491803279,0,780.2287275565964,19,0.08506158082817798,-0.2963475553149968,100,0.0,-0.13065516782516906,-0.05299698459032709,0.02687452800161716,-0.142505211016004,100,0.0,-0.11147681479393012,-0.12941506951781134,-0.11741332826613704
mom15_sell17_5_buy1_0,15,-0.175,0.01,1000000,0.5,0.001,0.1341339692084722,0.025957586961738777,-0.2890458892288309,0.15699043165439502,0.23672586114666952,2878,0.0014836169343197248,1.0,99.84231069476971,0,1041.8524590163934,26,0.08980438030443243,-0.288407114371547,100,0.0,-0.12670780141187066,-0.04911136129746296,0.07521770025449492,-0.1357345092489186,100,0.0,-0.09272826683091351,-0.10119994025445467,-0.07617172250322901
mom15_sell17_5_buy2_0,15,-0.175,0.02,1000000,0.5,0.001,0.18301268141232985,0.034809245123312405,-0.2965258665495588,0.1563365200793295,0.2901995373443587,2812,0.0017040607238465089,1.0,99.81811085089774,0,907.3161592505854,23,0.11739024837313707,-0.28644087979126365,100,0.0,-0.1199061870483985,-0.051978590060541396,0.04181512564278189,-0.14187115662288874,100,0.0,-0.09358522417634607,-0.12520200983532648,-0.04350965338510526
mom15_sell17_5_buy3_0,15,-0.175,0.03,1000000,0.5,0.001,0.22217454648122326,0.041693414506676074,-0.31663699518073274,0.15678227791392801,0.33065901114551527,2754,0.0024158087771509852,1.0,99.74863387978142,0,780.2287275565964,19,0.13167575217443545,-0.27737413832398217,100,0.0,-0.11981356964409517,-0.02210309744197403,0.11824726069000335,-0.16190619947311347,100,0.0,-0.10280435275687505,-0.12791200752998144,-0.08039841011446924
mom20_sell12_5_buy1_0,20,-0.125,0.01,1000000,0.5,0.001,0.8851340020666003,0.13778024292831947,-0.282597694649116,0.20475272645534578,0.7124627041916249,4786,0.002367454673149698,1.0,99.76268540202966,0,1072.919594067135,32,0.4875490690021114,-0.27583314488263055,86,0.13174108187441624,-0.11476064384527906,-0.054724169555350755,0.39684582875618646,-0.11021305806194748,100,0.0,-0.09232039418057136,-0.05477820791359023,-0.006922399618183528
