CostPerTransaction,ApproxRoundtripCost,MomentumDays,SellThreshold,BuyThreshold,MinTurnover,TotalReturn,CAGR,MaxDrawdown,Volatility,Sharpe,Trades,AvgCash,MaxCash,AvgStocks,MinStocks,AvgEligibleCount,MinEligibleCount,CAGR_Loss_vs_ZeroCost,TotalReturn_Loss_vs_ZeroCost
0.0,0.0,20,-0.15,0.02,1000000,1.4586019152622294,0.20099801992901534,-0.2978546079675035,0.20307708983880407,0.9743820063144663,3848,0.0024427109750020906,1.0,99.7416081186573,0,957.4754098360655,28,0.0,0.0
0.0005,0.001,20,-0.15,0.02,1000000,1.423843631602411,0.19752154582252213,-0.29870435301402665,0.20313972007664247,0.9603371671340587,3848,0.0024428766197265046,1.0,99.7416081186573,0,957.4754098360655,28,0.0034764741064932103,0.03475828365981837
0.001,0.002,20,-0.15,0.02,1000000,1.389623998497565,0.19405994268668203,-0.299553325824201,0.20320336519608456,0.9463166073625248,3848,0.002443043718098314,1.0,99.7416081186573,0,957.4754098360655,28,0.006938077242333307,0.06897791676466447
0.002,0.004,20,-0.15,0.02,1000000,1.3227633636536997,0.18718089124548531,-0.301248961618901,0.20333368255527687,0.9183484370358581,3848,0.0024433822578948296,1.0,99.7416081186573,0,957.4754098360655,28,0.013817128683530022,0.13583855160852965
0.003,0.006,20,-0.15,0.02,1000000,1.2579471942153249,0.1803599617066769,-0.3029415290658848,0.2034680072820501,0.8904777103326231,3848,0.002443726558498959,1.0,99.7416081186573,0,957.4754098360655,28,0.02063805822233844,0.20065472104690452
