CostPerTransaction,ApproxRoundtripCost,Crash,PeakDate,TroughDate,ReturnToTrough,StocksAtTrough,CashAtTrough,EligibleAtTrough,ReturnPeakToPlus3M,StocksPlus3M,CashPlus3M,ReturnPeakToPlus6M,StocksPlus6M,CashPlus6M,ReturnPeakToPlus12M,StocksPlus12M,CashPlus12M
0.0,0.0,Corona2020,2020-02-19,2020-03-23,-0.2874063650236838,81,0.17335240408153416,50,-0.09713764204090403,100,0.0,0.01495127802866092,100,0.0,0.3837145677377394,100,0.0
0.0,0.0,Bear2022,2022-01-03,2022-10-12,-0.00876191902441037,100,0.0,214,0.0788483358977099,100,0.0,0.05577908041578028,100,0.0,0.3037527151715802,100,0.0
0.0005,0.001,Corona2020,2020-02-19,2020-03-23,-0.288300435899449,81,0.17344599014179582,50,-0.09895088036186916,100,0.0,0.0121755048435217,100,0.0,0.377184990764047,100,0.0
0.0005,0.001,Bear2022,2022-01-03,2022-10-12,-0.010695331258681273,100,0.0,214,0.0763171067880466,100,0.0,0.052581642512593785,100,0.0,0.30025135655034996,100,0.0
0.001,0.002,Corona2020,2020-02-19,2020-03-23,-0.28919363781965624,81,0.17353976891939707,50,-0.10076046461409227,100,0.0,0.00940736105630191,100,0.0,0.37069216726201804,100,0.0
0.001,0.002,Bear2022,2022-01-03,2022-10-12,-0.012621123166498549,100,0.0,214,0.07379686016013443,100,0.0,0.049400358003544476,100,0.0,0.2967677651928289,100,0.0
0.002,0.004,Corona2020,2020-02-19,2020-03-23,-0.2909774404293216,81,0.17372790258198453,50,-0.10436870454999891,100,0.0,0.003893867901476611,100,0.0,0.35781588762861793,100,0.0
0.002,0.004,Bear2022,2022-01-03,2022-10-12,-0.016450188625918516,100,0.0,214,0.06878879681145955,100,0.0,0.04308547238635718,100,0.0,0.2898525783391439,100,0.0
0.003,0.006,Corona2020,2020-02-19,2020-03-23,-0.29275778409934805,81,0.17391680097356685,50,-0.10796242898689212,100,0.0,-0.0015893881035032864,100,0.0,0.34508395579648266,100,0.0
0.003,0.006,Bear2022,2022-01-03,2022-10-12,-0.020249793809751337,100,0.0,214,0.06382312345620056,100,0.0,0.03683289478639806,100,0.0,0.2830045942509152,100,0.0
