date,nav,cash,cash_frac,n_stocks,trades,eligible_count
2019-01-30,0.9999999999999999,0.9999999999999999,1.0,0,0,1159
2019-01-31,0.9980000000000001,0.0,0.0,100,100,1193
2019-02-01,1.0021261631718592,0.0,0.0,100,100,1105
2019-02-04,1.0043799278274526,0.0,0.0,100,100,1416
2019-02-05,1.012295375827492,0.0,0.0,100,100,1442
2019-02-06,1.0127633045165454,0.0,0.0,100,102,1343
2019-02-07,0.9967536528991248,0.0,0.0,100,102,1166
2019-02-08,0.9918697866231366,0.0,0.0,100,102,1030
2019-02-11,0.9987333523743337,0.0,0.0,100,104,1128
2019-02-12,1.0094841044444167,0.0,0.0,100,104,1221
2019-02-13,1.0119160695343612,0.0,0.0,100,106,1257
2019-02-14,1.010448599483458,0.0,0.0,100,106,1219
2019-02-15,1.0174563631082196,0.0,0.0,100,110,1104
2019-02-18,1.0225488402579288,0.0,0.0,100,110,1160
2019-02-19,1.027316351857546,0.0,0.0,100,110,1282
2019-02-20,1.0290698737705077,0.0,0.0,100,110,1325
2019-02-21,1.0261689442554347,0.0,0.0,100,110,1271
2019-02-22,1.0369448001126813,0.0,0.0,100,114,1170
2019-02-25,1.0408218033324355,0.0,0.0,100,114,1299
2019-02-26,1.043508039650641,0.0,0.0,100,116,1251
2019-02-27,1.0386452270515916,0.0,0.0,100,118,1233
2019-02-28,1.036746556341667,0.0,0.0,100,118,1141
2019-03-01,1.0431578819163954,0.0,0.0,100,124,1224
2019-03-04,1.0455118546937314,0.0,0.0,100,128,1165
2019-03-05,1.0453136689413995,0.0,0.0,100,130,1040
2019-03-06,1.0373145902457264,0.0,0.0,100,132,984
2019-03-07,1.02279660954938,0.0,0.0,100,132,1043
2019-03-08,1.0155901765660271,0.0,0.0,100,132,1038
2019-03-11,1.0270576144618817,0.0,0.0,100,138,1074
2019-03-12,1.0302001653374189,0.0,0.0,100,140,987
2019-03-13,1.033630940869925,0.0,0.0,100,142,924
2019-03-14,1.0326048803200831,0.0,0.0,100,142,951
2019-03-15,1.0395020181500938,0.0,0.0,100,152,944
2019-03-18,1.04576630416626,0.0,0.0,100,152,948
2019-03-19,1.0468160099891741,0.0,0.0,100,152,984
2019-03-20,1.040553335435726,0.0,0.0,100,152,873
2019-03-21,1.049265685968487,0.0,0.0,100,160,948
2019-03-22,1.0247010034340525,0.0,0.0,100,160,736
2019-03-25,1.0154890922506397,0.0,0.0,100,162,605
2019-03-26,1.0215223395474533,0.0,0.0,100,166,733
2019-03-27,1.0142953832037558,0.0,0.0,100,166,706
2019-03-28,1.0174753049420304,0.0,0.0,100,170,707
2019-03-29,1.0290631625504474,0.0,0.0,100,174,689
2019-04-01,1.0472554317103868,0.0,0.0,100,176,820
2019-04-02,1.049549298829571,0.0,0.0,100,176,860
2019-04-03,1.0637585502288214,0.0,0.0,100,182,1026
2019-04-04,1.053642343283163,0.0,0.0,100,182,1113
2019-04-05,1.0616696293354935,0.0,0.0,100,182,1315
2019-04-08,1.067706442885125,0.0,0.0,100,182,1203
2019-04-09,1.0592706447899891,0.0,0.0,100,186,1071
2019-04-10,1.0663731581364444,0.0,0.0,100,190,1072
2019-04-11,1.0659552949590743,0.0,0.0,100,190,1084
2019-04-12,1.0734335874649708,0.0,0.0,100,190,1050
2019-04-15,1.0741807452272791,0.0,0.0,100,196,1031
2019-04-16,1.074860312128329,0.0,0.0,100,198,1041
2019-04-17,1.069732322610392,0.0,0.0,100,200,1103
2019-04-18,1.06299195943238,0.0,0.0,100,202,1032
2019-04-19,1.0638043301615392,0.0,0.0,100,204,1121
2019-04-22,1.070815573722771,0.0,0.0,100,204,1222
2019-04-23,1.0806755725453168,0.0,0.0,100,206,1158
2019-04-24,1.0771267317729252,0.0,0.0,100,208,1155
2019-04-25,1.0698863002917678,0.0,0.0,100,210,1189
2019-04-26,1.07006717030844,0.0,0.0,100,210,1112
2019-04-29,1.0730128816863218,0.0,0.0,100,212,992
2019-04-30,1.0753089090317187,0.0,0.0,100,212,966
2019-05-01,1.0695747396172786,0.0,0.0,100,216,816
2019-05-02,1.0662767223985434,0.00844082285338593,0.00791616535940001,99,221,634
2019-05-03,1.076183235621994,0.0,0.0,100,242,634
2019-05-06,1.0643924307843844,0.0,0.0,100,244,564
2019-05-07,1.0548872336265596,0.0,0.0,100,248,522
2019-05-08,1.0585919066254543,0.0,0.0,100,252,482
2019-05-09,1.0450574806779998,0.0,0.0,100,254,395
2019-05-10,1.0467523056952612,0.0,0.0,100,256,382
2019-05-13,1.0237409864284872,0.0,0.0,100,258,304
2019-05-14,1.047745449503189,0.0,0.0,100,266,338
2019-05-15,1.0552368839259856,0.0,0.0,100,268,411
2019-05-16,1.0678670978405598,0.0,0.0,100,268,474
2019-05-17,1.064473157331371,0.0,0.0,100,270,486
2019-05-20,1.0526799537012965,0.0,0.0,100,274,452
2019-05-21,1.064771266123928,0.0,0.0,100,282,419
2019-05-22,1.0631360527768932,0.0,0.0,100,284,416
2019-05-23,1.0471427644315408,0.0,0.0,100,286,397
2019-05-24,1.0558992024275449,0.0,0.0,100,290,371
2019-05-27,1.0621898850171971,0.0,0.0,100,292,371
2019-05-28,1.0661460011869612,0.0,0.0,100,294,364
2019-05-29,1.0499722499756052,0.0,0.0,100,298,312
2019-05-30,1.0539530528002505,0.0,0.0,100,304,334
2019-05-31,1.047181719415482,0.0,0.0,100,304,301
2019-06-03,1.034995977898438,0.0,0.0,100,304,329
2019-06-04,1.036331206337798,0.0,0.0,100,306,452
2019-06-05,1.0465062696150647,0.0,0.0,100,308,558
2019-06-06,1.0460183950410886,0.0,0.0,100,310,668
2019-06-07,1.059663924542471,0.0,0.0,100,320,714
2019-06-10,1.0650677831706143,0.0,0.0,100,322,892
2019-06-11,1.070382400185475,0.0,0.0,100,324,888
2019-06-12,1.0708488751956016,0.0,0.0,100,326,789
2019-06-13,1.0651762970754222,0.0,0.0,100,328,667
2019-06-14,1.0639637468937235,0.0,0.0,100,336,656
2019-06-17,1.0604481190183372,0.0,0.0,100,336,706
2019-06-18,1.068497812674434,0.0,0.0,100,340,740
