key,conId,ISIN,Symbol,Currency,FirstDate,LastDate,Rows
1411418,1411418,AN8068571086,SCL,EUR,2019-01-02,2023-12-29,1272
655930820,655930820,AT000000ETS9,ETS,EUR,2023-09-22,2023-12-29,68
46691927,46691927,AT000000STR1,STR,EUR,2019-01-02,2023-12-29,1268
87327805,87327805,AT00000AMAG3,AMAG,EUR,2019-01-02,2023-12-29,1268
161684488,161684488,AT00000FACC2,FACC,EUR,2019-01-02,2023-12-29,1268
237880563,237880563,AT00000VIE62,FLU1,EUR,2019-01-02,2023-12-29,1268
33908748,33908748,AT0000606306,RBI,EUR,2019-01-02,2023-12-29,1268
36764473,36764473,AT0000609607,POS,EUR,2019-01-02,2023-12-29,1268
3306558,3306558,AT0000625108,OBS,EUR,2019-01-02,2023-12-29,1268
36764506,36764506,AT0000625504,BTS,EUR,2019-01-02,2023-12-29,1268
27049908,27049908,AT0000641352,CAI,EUR,2019-01-02,2023-12-29,1268
3306480,3306480,AT0000644505,LNZ,EUR,2019-01-02,2023-12-29,1268
3306538,3306538,AT0000652011,EBS,EUR,2019-01-02,2023-12-29,1268
10907257,10907257,AT0000720008,TKA1,EUR,2019-01-02,2023-12-29,1268
14317520,14317520,AT0000730007,ANDR,EUR,2019-01-02,2023-12-29,1268
3306468,3306468,AT0000741053,EVN,EUR,2019-01-02,2023-12-29,1268
3306504,3306504,AT0000743059,OMV,EUR,2019-01-02,2023-12-29,1268
3306518,3306518,AT0000746409,VER,EUR,2019-01-02,2023-12-29,1268
14089130,14089130,AT0000758305,PAL,EUR,2019-01-02,2023-12-29,1268
36764552,36764552,AT0000762406,FKA,EUR,2019-01-02,2023-12-29,1268
11662299,11662299,AT0000785407,FAA,EUR,2019-01-02,2023-12-29,1272
10129289,10129289,AT0000785555,SEM,EUR,2019-01-02,2023-12-29,1268
36764666,36764666,AT0000815402,UBS1,EUR,2019-01-02,2023-12-29,1268
14317525,14317525,AT0000821103,UQA,EUR,2019-01-02,2023-12-29,1268
49283737,49283737,AT0000827209,WXF,EUR,2019-01-02,2023-12-29,1268
3306521,3306521,AT0000831706,WIE,EUR,2019-01-02,2023-12-29,1268
3306490,3306490,AT0000834007,WOL,EUR,2019-01-02,2023-12-29,1268
40735360,40735360,AT0000837307,ZAG,EUR,2019-01-02,2023-12-29,1268
35352636,35352636,AT0000908504,VIG,EUR,2019-01-02,2023-12-29,1268
36764456,36764456,AT0000922554,ROS,EUR,2019-01-02,2023-12-29,1268
3306495,3306495,AT0000937503,VOE,EUR,2019-01-02,2023-12-29,1268
3306498,3306498,AT0000938204,MMK,EUR,2019-01-02,2023-12-29,1268
33203234,33203234,AT0000946652,SBO,EUR,2019-01-02,2023-12-29,1268
72217360,72217360,AT0000A00XX9,PYT,EUR,2019-01-02,2023-12-29,1268
62078268,62078268,AT0000A0E9W5,KTN,EUR,2019-01-02,2023-12-29,1271
403944996,403944996,AT0000A25NJ6,WAH,EUR,2020-02-14,2023-12-29,877
39165470,39165470,AT0000APOST4,POST,EUR,2019-01-02,2023-12-29,1268
294207034,294207034,AT0000BAWAG2,BG,EUR,2019-01-02,2023-12-29,1267
319015382,319015382,AT0000KTMI02,BMAG,CHF,2019-01-03,2023-12-29,1259
374619368,374619368,AT000ADDIKO0,ADKO,EUR,2019-07-15,2023-12-29,1134
327302377,327302377,AT000AGRANA3,AGR,EUR,2019-01-02,2023-12-29,1268
69052886,69052886,AT000KAPSCH9,KTCG,EUR,2019-01-02,2023-12-29,1268
352446374,352446374,ATMARINOMED6,MARI,EUR,2019-02-22,2023-12-29,1231
319337006,319337006,AU0000003816,CPV,AUD,2019-01-02,2023-12-29,1265
314449519,314449519,AU0000005159,JMS,AUD,2019-01-02,2023-12-29,1265
314244762,314244762,AU0000007627,inf,AUD,2019-01-02,2023-12-29,1265
243860230,243860230,AU000000A3D7,A3D,AUD,2019-01-02,2023-12-29,1263
14062085,14062085,AU000000AAC9,AAC,AUD,2019-01-02,2023-12-29,1265
44187505,44187505,AU000000ACR3,ACR,AUD,2019-01-02,2023-12-29,1265
46665810,46665810,AU000000ACW3,ACW,AUD,2019-01-02,2023-12-29,1265
197118344,197118344,AU000000ADH2,ADH,AUD,2019-01-02,2023-12-29,1265
14062016,14062016,AU000000ADX9,ADX,AUD,2019-01-02,2023-12-29,1265
44188231,44188231,AU000000ADY7,ADY,AUD,2019-01-02,2023-12-29,1263
83662625,83662625,AU000000AGE2,AGE,AUD,2019-01-02,2023-12-29,1265
4506298,4506298,AU000000AGL7,AGL,AUD,2019-01-02,2023-12-29,1265
79770335,79770335,AU000000AGR4,AGR,AUD,2019-01-02,2023-12-29,1264
171970428,171970428,AU000000AHF7,AHF,AUD,2019-01-02,2023-12-29,1265
14061774,14061774,AU000000AJL1,AJL,AUD,2019-01-02,2023-12-29,1265
14061804,14061804,AU000000ALK9,ALK,AUD,2019-01-02,2023-12-29,1265
12294122,12294122,AU000000ALL7,ALL,AUD,2019-01-02,2023-12-29,1265
112160642,112160642,AU000000ALQ6,ALQ,AUD,2019-01-02,2023-12-29,1265
47474522,47474522,AU000000ALY0,ALY,AUD,2019-01-02,2023-12-29,1265
44187847,44187847,AU000000AMA8,AMA,AUD,2019-01-02,2023-12-29,1265
153982092,153982092,AU000000AMI1,YTR,EUR,2019-01-02,2023-12-29,1272
3882741,3882741,AU000000AMP6,AMP,AUD,2019-01-02,2023-12-29,1265
44187848,44187848,AU000000ANG3,ANG,AUD,2019-01-02,2023-12-29,1265
4109727,4109727,AU000000ANN9,ANN,AUD,2019-01-02,2023-12-29,1265
46914651,46914651,AU000000AON7,AON,AUD,2019-01-02,2023-12-29,1265
179250385,179250385,AU000000APX3,APX,AUD,2019-01-02,2023-12-29,1265
44188332,44188332,AU000000ARU5,ARU,AUD,2019-01-02,2023-12-29,1265
44188338,44188338,AU000000ARV3,ARV,AUD,2019-01-02,2023-12-29,1265
14062050,14062050,AU000000ASB3,ASB,AUD,2019-01-02,2023-12-29,1265
218311180,218311180,AU000000ASN8,ASN,AUD,2019-01-02,2023-12-29,1265
14061983,14061983,AU000000ASP3,ASP,AUD,2019-01-02,2023-12-29,1264
4354508,4354508,AU000000ASX7,ASX,AUD,2019-01-02,2023-12-29,1265
173358925,173358925,AU000000ATC9,ATC,AUD,2019-01-02,2023-12-29,1265
44187865,44187865,AU000000AUB9,AUB,AUD,2019-01-02,2023-12-29,1265
70961940,70961940,AU000000AUC7,AUC,AUD,2019-01-02,2023-12-29,1265
44492192,44492192,AU000000AUQ7,AUQ,AUD,2019-01-02,2023-12-29,1264
44188369,44188369,AU000000AUZ8,AUZ,AUD,2019-01-02,2023-12-29,1265
52187946,52187946,AU000000AVH4,AVH,AUD,2019-01-02,2023-12-29,1262
213929763,213929763,AU000000AVL6,AVL,AUD,2019-01-02,2023-12-29,1265
45665137,45665137,AU000000AXE7,AXE,AUD,2019-01-02,2023-12-29,1265
118158558,118158558,AU000000AZJ1,AZJ,AUD,2019-01-02,2023-12-29,1265
149638935,149638935,AU000000BAP9,BAP,AUD,2019-01-02,2023-12-29,1265
44188412,44188412,AU000000BCI0,BCI,AUD,2019-01-02,2023-12-29,1265
13902720,13902720,AU000000BEN6,BEN,AUD,2019-01-02,2023-12-29,1265
93033793,93033793,AU000000BGA8,BGA,AUD,2019-01-02,2023-12-29,1265
4036812,4036812,AU000000BHP4,BHP,AUD,2019-01-02,2023-12-29,1265
44188692,44188692,AU000000BKY0,BKY,AUD,2019-01-02,2023-12-29,1265
44188438,44188438,AU000000BMN9,BMN,AUD,2019-01-02,2023-12-29,1265
81931693,81931693,AU000000BNR8,BNR,AUD,2019-01-02,2023-12-29,1265
