Variant,MomentumDays,SellThreshold,BuyThreshold,MinTurnover,MinPrice,Crash,PeakDate,TroughDate,ReturnToTrough,StocksAtTrough,CashAtTrough,EligibleAtTrough,ReturnPeakToPlus3M,StocksPlus3M,CashPlus3M,ReturnPeakToPlus6M,StocksPlus6M,CashPlus6M,ReturnPeakToPlus12M,StocksPlus12M,CashPlus12M
mom10_sell10_buy05_liq1000000_p0_5,10,-0.1,0.05,1000000,0.5,Corona2020,2020-02-19,2020-03-23,-0.25563829403537697,99,0.004308481426236605,117,-0.08427010457866646,100,0.0,-0.03750673986890074,100,0.0,0.2746569775603984,100,0.0
mom10_sell10_buy05_liq1000000_p0_5,10,-0.1,0.05,1000000,0.5,Bear2022,2022-01-03,2022-10-12,-0.24401512054416163,100,0.0,304,-0.21755743592651033,100,0.0,-0.207354076601459,100,0.0,-0.1672275898228649,100,0.0
mom10_sell15_buy00_liq1000000_p0_5,10,-0.15,0.0,1000000,0.5,Corona2020,2020-02-19,2020-03-23,-0.2670979885460888,100,0.0,215,-0.11106195433483845,100,0.0,-0.07471363542983755,100,0.0,0.12433257775936069,100,0.0
mom10_sell15_buy00_liq1000000_p0_5,10,-0.15,0.0,1000000,0.5,Bear2022,2022-01-03,2022-10-12,-0.21363308139788761,100,0.0,938,-0.15720782111635045,100,0.0,-0.1760759497419735,100,0.0,-0.17530224924093785,100,0.0
mom10_sell15_buy02_liq1000000_p0_5,10,-0.15,0.02,1000000,0.5,Corona2020,2020-02-19,2020-03-23,-0.2586388416115616,100,0.0,178,-0.11631780324280794,100,0.0,-0.03866101440806424,100,0.0,0.10944124171851422,100,0.0
mom10_sell15_buy02_liq1000000_p0_5,10,-0.15,0.02,1000000,0.5,Bear2022,2022-01-03,2022-10-12,-0.15641482478675028,100,0.0,643,-0.0838335989493042,100,0.0,-0.09188483675866066,100,0.0,-0.021162591403005138,100,0.0
mom10_sell15_buy05_liq1000000_p0_5,10,-0.15,0.05,1000000,0.5,Corona2020,2020-02-19,2020-03-23,-0.2653744292125447,100,0.0,117,-0.08330755808365109,100,0.0,-0.012889208968650978,100,0.0,0.1355362459686842,100,0.0
mom10_sell15_buy05_liq1000000_p0_5,10,-0.15,0.05,1000000,0.5,Bear2022,2022-01-03,2022-10-12,-0.16878053409637617,100,0.0,304,-0.1403126561508895,100,0.0,-0.17274530698057877,100,0.0,-0.14950711327455923,100,0.0
mom20_sell05_buy00_liq1000000_p0_5,20,-0.05,0.0,1000000,0.5,Corona2020,2020-02-19,2020-03-23,-0.26497958419504275,77,0.236062263467936,62,-0.10163749417718115,100,0.0,-0.09571003058922911,100,0.0,0.29410558335253656,100,0.0
mom20_sell05_buy00_liq1000000_p0_5,20,-0.05,0.0,1000000,0.5,Bear2022,2022-01-03,2022-10-12,-0.10509283012853943,100,0.0,338,0.04425998137379361,100,0.0,0.07383618895261246,100,0.0,0.0718056128651483,100,0.0
