date,nav,cash,cash_frac,n_stocks,trades,eligible_count
2019-02-27,0.9999999999999999,0.9999999999999999,1.0,0,0,1091
2019-02-28,0.9999999999999999,0.0,0.0,100,100,1109
2019-03-01,1.0038555566253762,0.0,0.0,100,100,1036
2019-03-04,1.0065201956553211,0.0,0.0,100,102,1349
2019-03-05,1.0080501187688113,0.0,0.0,100,102,1267
2019-03-06,1.0033513585797953,0.0,0.0,100,102,1143
2019-03-07,0.9916853520663516,0.0,0.0,100,104,1064
2019-03-08,0.9858599769553135,0.0,0.0,100,104,960
2019-03-11,1.0013443646692293,0.0,0.0,100,104,1065
2019-03-12,1.0027666513197537,0.0,0.0,100,104,1071
2019-03-13,1.0058769841697508,0.0,0.0,100,108,1030
2019-03-14,1.0084238642513585,0.0,0.0,100,110,1028
2019-03-15,1.0099202343467764,0.0,0.0,100,110,963
2019-03-18,1.017764220240988,0.0,0.0,100,118,998
2019-03-19,1.0173841829904828,0.0,0.0,100,118,1076
2019-03-20,1.015845083334075,0.0,0.0,100,118,1071
2019-03-21,1.024679633201408,0.0,0.0,100,120,1063
2019-03-22,1.0041703443503678,0.0,0.0,100,120,897
2019-03-25,0.9947421948743004,0.0,0.0,100,128,879
2019-03-26,1.001462743310228,0.0,0.0,100,130,923
2019-03-27,0.9955996339179947,0.0,0.0,100,130,870
2019-03-28,0.9981850279979028,0.0,0.0,100,130,803
2019-03-29,1.0119296713597121,0.0,0.0,100,132,845
2019-04-01,1.0266505259446383,0.0,0.0,100,132,907
2019-04-02,1.0301260464535102,0.0,0.0,100,134,841
2019-04-03,1.0393285172852484,0.0,0.0,100,134,905
2019-04-04,1.029913526710406,0.0,0.0,100,134,1017
2019-04-05,1.0352658419996885,0.0,0.0,100,134,1121
2019-04-08,1.0410723849525563,0.0,0.0,100,134,1082
2019-04-09,1.037641562885359,0.0,0.0,100,136,935
2019-04-10,1.0404283757505075,0.0,0.0,100,136,872
2019-04-11,1.039815123985366,0.0,0.0,100,136,902
2019-04-12,1.0497990425995833,0.0,0.0,100,136,892
2019-04-15,1.054066244669035,0.0,0.0,100,140,862
2019-04-16,1.0541352206789998,0.0,0.0,100,140,896
2019-04-17,1.0436355346617119,0.0,0.0,100,142,872
2019-04-18,1.0419911247781188,0.0,0.0,100,142,889
2019-04-19,1.0429541189726572,0.0,0.0,100,144,839
2019-04-22,1.0522022059694973,0.0,0.0,100,146,819
2019-04-23,1.0644439980121385,0.0,0.0,100,148,849
2019-04-24,1.0653905043343213,0.0,0.0,100,152,861
2019-04-25,1.0613988279317075,0.0,0.0,100,156,846
2019-04-26,1.0596509115033104,0.0,0.0,100,156,791
2019-04-29,1.0654794343503728,0.0,0.0,100,158,767
2019-04-30,1.067668328417077,0.0,0.0,100,160,790
2019-05-01,1.0631867211777544,0.0,0.0,100,160,770
