Variant,MomentumDays,SellThreshold,BuyThreshold,MinTurnover,MinPrice,TotalReturn,CAGR,MaxDrawdown,Volatility,Sharpe,Trades,AvgCash,MaxCash,AvgStocks,MinStocks,AvgEligibleCount,MinEligibleCount,ReturnToDrawdown,Corona_ReturnToTrough,Corona_StocksAtTrough,Corona_CashAtTrough,Corona_EligibleAtTrough,Corona_ReturnPlus3M,Corona_ReturnPlus6M,Corona_ReturnPlus12M,Bear22_ReturnToTrough,Bear22_StocksAtTrough,Bear22_CashAtTrough,Bear22_EligibleAtTrough,Bear22_ReturnPlus3M,Bear22_ReturnPlus6M,Bear22_ReturnPlus12M
mom10_sell05_buy00_liq1000000_p0_5,10,-0.05,0.0,1000000,0.5,0.6465122253472848,0.10685724415133491,-0.3758573919208483,0.1830574547508199,0.6283052302438973,13308,0.0014606992952701427,1.0,99.85558157689306,0,1168.392661982826,30,0.28430262766745834,-0.2530559793734727,100,0.0,215,-0.04253278154054296,0.07408379180486357,0.41339847065492563,-0.28232637182845843,100,0.0,938,-0.23374875755813662,-0.26271675987012766,-0.16690153215626968
mom10_sell05_buy02_liq1000000_p0_5,10,-0.05,0.02,1000000,0.5,0.543510717508797,0.09239494541468818,-0.39426256353002875,0.18696419006396278,0.5509688308050618,13250,0.002491846057965471,1.0,99.76190476190476,0,830.6651053864168,21,0.2343487664348101,-0.26652867805155833,100,0.0,178,-0.016148553331159277,0.09192933897240052,0.3825950110033487,-0.23741342971629953,100,0.0,643,-0.1942663838968307,-0.2137918565427812,-0.1622136205070036
mom10_sell05_buy05_liq1000000_p0_5,10,-0.05,0.05,1000000,0.5,0.38483638049186264,0.06853331005579943,-0.47774247547537185,0.19137505580542924,0.4308260400025808,13218,0.0069088503701426164,1.0,99.33879781420765,0,452.6174863387978,12,0.14345241123391048,-0.23873804809140664,85,0.1721864510316711,117,-0.07522392201931472,0.028596983909745743,0.39274972307514955,-0.3267554235528576,100,0.0,304,-0.28479077078188386,-0.30644761028234835,-0.23638956759561114
mom10_sell10_buy00_liq1000000_p0_5,10,-0.1,0.0,1000000,0.5,0.5852667488313759,0.09834784330853541,-0.2909347557684887,0.1849764719997182,0.5833293096669323,6680,0.0010176091402442145,1.0,99.89539422326308,0,1168.392661982826,30,0.3380408884072816,-0.2673576171291675,100,0.0,215,-0.08442098695718714,-0.041218643317716186,0.21384999091970802,-0.11770351048476402,100,0.0,938,-0.08997623926905973,-0.07494038094679412,-0.009273982433069317
mom10_sell10_buy02_liq1000000_p0_5,10,-0.1,0.02,1000000,0.5,0.365426021664377,0.06546691158027151,-0.41194727979740475,0.17320471015226227,0.4410149303036637,6714,0.0012198571044034984,1.0,99.8711943793911,0,830.6651053864168,21,0.15892060657001564,-0.2650363645617442,100,0.0,178,-0.093520591287229,-0.04917691312349515,0.2362358246890599,-0.19714346386129167,100,0.0,643,-0.14041357432367296,-0.140690107576248,-0.027176116199891576
mom10_sell10_buy05_liq1000000_p0_5,10,-0.1,0.05,1000000,0.5,0.294652423116057,0.05398362608252971,-0.4061607475033874,0.1677892862332376,0.3871543038250632,6740,0.0037577761921677743,1.0,99.6120218579235,0,452.6174863387978,12,0.13291197245021685,-0.25563829403537697,99,0.004308481426236605,117,-0.08427010457866646,-0.03750673986890074,0.2746569775603984,-0.24401512054416163,100,0.0,304,-0.21755743592651033,-0.207354076601459,-0.1672275898228649
mom10_sell15_buy00_liq1000000_p0_5,10,-0.15,0.0,1000000,0.5,0.12631375378727916,0.02451332056250477,-0.3955454212724563,0.16573717359535273,0.22430344720978515,3300,0.0009422939356426521,1.0,99.903981264637,0,1168.392661982826,30,0.061973465610210436,-0.2670979885460888,100,0.0,215,-0.11106195433483845,-0.07471363542983755,0.12433257775936069,-0.21363308139788761,100,0.0,938,-0.15720782111635045,-0.1760759497419735,-0.17530224924093785
mom10_sell15_buy02_liq1000000_p0_5,10,-0.15,0.02,1000000,0.5,0.34525089003788745,0.062242678390543205,-0.4102830003548975,0.18010369300047963,0.41449986189666244,3260,0.0010297467869104684,1.0,99.89305230288836,0,830.6651053864168,21,0.15170669595548164,-0.2586388416115616,100,0.0,178,-0.11631780324280794,-0.03866101440806424,0.10944124171851422,-0.15641482478675028,100,0.0,643,-0.0838335989493042,-0.09188483675866066,-0.021162591403005138
mom10_sell15_buy05_liq1000000_p0_5,10,-0.15,0.05,1000000,0.5,0.18253014067070739,0.03472329564909593,-0.4576844736855197,0.17639050616428753,0.27552898415719534,3224,0.0018564017757307211,1.0,99.8056206088993,0,452.6174863387978,12,0.07586732267643999,-0.2653744292125447,100,0.0,117,-0.08330755808365109,-0.012889208968650978,0.1355362459686842,-0.16878053409637617,100,0.0,304,-0.1403126561508895,-0.17274530698057877,-0.14950711327455923
mom20_sell05_buy00_liq1000000_p0_5,20,-0.05,0.0,1000000,0.5,0.9467260443786081,0.14525213652312874,-0.2799043199781712,0.1974392454503215,0.7634506628920588,9004,0.0030878697429063597,1.0,99.69711163153787,0,1187.5901639344263,35,0.518934957968696,-0.26497958419504275,77,0.236062263467936,62,-0.10163749417718115,-0.09571003058922911,0.29410558335253656,-0.10509283012853943,100,0.0,338,0.04425998137379361,0.07383618895261246,0.0718056128651483
mom20_sell05_buy02_liq1000000_p0_5,20,-0.05,0.02,1000000,0.5,1.0723195616063568,0.15992286026775404,-0.3535944344175148,0.2008410429941383,0.8150170017939921,9002,0.003958817780348719,1.0,99.61046057767369,0,957.4754098360655,28,0.4522776511773978,-0.2592985428735486,65,0.35887714425668826,50,-0.06242921135546753,-0.053421832145746584,0.40250740697671517,-0.19210038216588032,100,0.0,214,-0.0896513312323749,-0.07560485372735082,0.11033121921640832
mom20_sell05_buy05_liq1000000_p0_5,20,-0.05,0.05,1000000,0.5,1.2211827181022503,0.17642145886244465,-0.3469083456073929,0.2205901479810736,0.8223711343857019,8962,0.005509129215710536,1.0,99.46291959406713,0,649.303669008587,19,0.5085535159252305,-0.24508666508047094,48,0.5460167850624854,41,-0.054946273942227175,0.006186243269657998,0.41674994735078696,-0.20372977424260552,100,0.0,111,-0.12544005390562207,-0.13346798126340942,0.09621188584526585
mom20_sell10_buy00_liq1000000_p0_5,20,-0.1,0.0,1000000,0.5,0.5282126866506662,0.09018188029522567,-0.31642560617316284,0.20340260215483574,0.5125498806596128,6022,0.0022600594923612174,1.0,99.76893052302889,0,1187.5901639344263,35,0.2850018409884121,-0.28433063483389487,90,0.10434920431126513,62,-0.08863400161757506,-0.009036479757676963,0.3829528871146506,-0.10346538882889333,100,0.0,338,-0.08329823224679489,-0.10393530571812826,-0.08993249861037977
