Variant,MomentumDays,SellThreshold,BuyThreshold,MinTurnover,MinPrice,TotalReturn,CAGR,MaxDrawdown,Volatility,Sharpe,Trades,AvgCash,MaxCash,AvgStocks,MinStocks,AvgEligibleCount,MinEligibleCount,ReturnToDrawdown
mom20_sell15_buy02_liq1000000_p0_5,20,-0.15,0.02,1000000,0.5,1.4586019152622294,0.20099801992901534,-0.2978546079675035,0.20307708983880407,0.9743820063144663,3848,0.0024427109750020906,1.0,99.7416081186573,0,957.4754098360655,28,0.6748192391602839
mom20_sell10_buy05_liq1000000_p0_5,20,-0.1,0.05,1000000,0.5,1.1012336559946556,0.16319966226958282,-0.27846182565790534,0.19918475277255698,0.8339840401357383,6044,0.0046099737682146,1.0,99.53005464480874,0,649.303669008587,19,0.5860755307626121
mom20_sell05_buy00_liq1000000_p0_5,20,-0.05,0.0,1000000,0.5,0.9467260443786081,0.14525213652312874,-0.2799043199781712,0.1974392454503215,0.7634506628920588,9004,0.0030878697429063597,1.0,99.69711163153787,0,1187.5901639344263,35,0.518934957968696
mom20_sell05_buy05_liq1000000_p0_5,20,-0.05,0.05,1000000,0.5,1.2211827181022503,0.17642145886244465,-0.3469083456073929,0.2205901479810736,0.8223711343857019,8962,0.005509129215710536,1.0,99.46291959406713,0,649.303669008587,19,0.5085535159252305
mom20_sell15_buy05_liq1000000_p0_5,20,-0.15,0.05,1000000,0.5,0.9023027452673835,0.1398823418103643,-0.2956167213475348,0.20535718685134446,0.719328166747128,3794,0.004064928775866201,1.0,99.59172521467603,0,649.303669008587,19,0.47318819169878734
mom20_sell10_buy02_liq1000000_p0_5,20,-0.1,0.02,1000000,0.5,0.840214091893907,0.13220731458199508,-0.28915025675637895,0.20090176818606614,0.6985491609290698,6066,0.003152164646935487,1.0,99.6768149882904,0,957.4754098360655,28,0.45722703505459866
mom20_sell05_buy02_liq1000000_p0_5,20,-0.05,0.02,1000000,0.5,1.0723195616063568,0.15992286026775404,-0.3535944344175148,0.2008410429941383,0.8150170017939921,9002,0.003958817780348719,1.0,99.61046057767369,0,957.4754098360655,28,0.4522776511773978
mom10_sell10_buy00_liq1000000_p0_5,10,-0.1,0.0,1000000,0.5,0.5852667488313759,0.09834784330853541,-0.2909347557684887,0.1849764719997182,0.5833293096669323,6680,0.0010176091402442145,1.0,99.89539422326308,0,1168.392661982826,30,0.3380408884072816
mom40_sell05_buy00_liq1000000_p0_5,40,-0.05,0.0,1000000,0.5,0.7386885283900759,0.12120098383810296,-0.3683403839907061,0.23616227913780385,0.5872591567741798,5840,0.0015042521099289969,1.0,99.85487708168121,0,1207.7153053132436,47,0.3290461461895014
mom20_sell10_buy00_liq1000000_p0_5,20,-0.1,0.0,1000000,0.5,0.5282126866506662,0.09018188029522567,-0.31642560617316284,0.20340260215483574,0.5125498806596128,6022,0.0022600594923612174,1.0,99.76893052302889,0,1187.5901639344263,35,0.2850018409884121
mom10_sell05_buy00_liq1000000_p0_5,10,-0.05,0.0,1000000,0.5,0.6465122253472848,0.10685724415133491,-0.3758573919208483,0.1830574547508199,0.6283052302438973,13308,0.0014606992952701427,1.0,99.85558157689306,0,1168.392661982826,30,0.28430262766745834
mom40_sell10_buy02_liq1000000_p0_5,40,-0.1,0.02,1000000,0.5,0.5900011487186729,0.1006612798622446,-0.36709660182577397,0.23626939696391994,0.5111924893376801,4722,0.0015650373953712523,1.0,99.82791435368755,0,1045.7264076130054,40,0.27420923909837497
mom10_sell05_buy02_liq1000000_p0_5,10,-0.05,0.02,1000000,0.5,0.543510717508797,0.09239494541468818,-0.39426256353002875,0.18696419006396278,0.5509688308050618,13250,0.002491846057965471,1.0,99.76190476190476,0,830.6651053864168,21,0.2343487664348101
