Variant,MomentumDays,SellThreshold,BuyThreshold,MinTurnover,MinPrice,TotalReturn,CAGR,MaxDrawdown,Volatility,Sharpe,Trades,AvgCash,MaxCash,AvgStocks,MinStocks,AvgEligibleCount,MinEligibleCount,ReturnToDrawdown
mom20_sell15_buy00_liq1000000_p0_5,20,-0.15,0.0,1000000,0.5,0.2948694093318387,0.05401958872741908,-0.3292494146228594,0.18282383589383913,0.37018257558217443,3852,0.001782049928370448,1.0,99.81420765027322,0,1187.5901639344263,35,0.16406889831314087
mom40_sell10_buy00_liq1000000_p0_5,40,-0.1,0.0,1000000,0.5,0.3937836441914382,0.07108260273657563,-0.4399512040249052,0.2341557271845347,0.4013641982590242,4696,0.0009692830846303451,1.0,99.90007930214115,0,1207.7153053132436,47,0.16156928788073444
mom10_sell10_buy02_liq1000000_p0_5,10,-0.1,0.02,1000000,0.5,0.365426021664377,0.06546691158027151,-0.41194727979740475,0.17320471015226227,0.4410149303036637,6714,0.0012198571044034984,1.0,99.8711943793911,0,830.6651053864168,21,0.15892060657001564
mom10_sell15_buy02_liq1000000_p0_5,10,-0.15,0.02,1000000,0.5,0.34525089003788745,0.062242678390543205,-0.4102830003548975,0.18010369300047963,0.41449986189666244,3260,0.0010297467869104684,1.0,99.89305230288836,0,830.6651053864168,21,0.15170669595548164
mom40_sell10_buy05_liq1000000_p0_5,40,-0.1,0.05,1000000,0.5,0.3714840714557437,0.06751565206156696,-0.45566880814005717,0.22886714237179553,0.3910781382285404,4656,0.0026072825561280102,1.0,99.71054718477399,0,815.4758128469468,31,0.14816825478388884
mom10_sell05_buy05_liq1000000_p0_5,10,-0.05,0.05,1000000,0.5,0.38483638049186264,0.06853331005579943,-0.47774247547537185,0.19137505580542924,0.4308260400025808,13218,0.0069088503701426164,1.0,99.33879781420765,0,452.6174863387978,12,0.14345241123391048
mom40_sell05_buy02_liq1000000_p0_5,40,-0.05,0.02,1000000,0.5,0.3837988073935781,0.06949110687274174,-0.4888224698643514,0.2402610253436682,0.39118293857888836,5804,0.002448858136653501,1.0,99.7605075337034,0,1045.7264076130054,40,0.14216021389529326
mom10_sell10_buy05_liq1000000_p0_5,10,-0.1,0.05,1000000,0.5,0.294652423116057,0.05398362608252971,-0.4061607475033874,0.1677892862332376,0.3871543038250632,6740,0.0037577761921677743,1.0,99.6120218579235,0,452.6174863387978,12,0.13291197245021685
mom40_sell05_buy05_liq1000000_p0_5,40,-0.05,0.05,1000000,0.5,0.2231263487179591,0.04253611865304019,-0.5313181403065196,0.23205863558215462,0.29034743498460247,5758,0.003778206183643831,1.0,99.62569389373513,0,815.4758128469468,31,0.08005771952092758
mom10_sell15_buy05_liq1000000_p0_5,10,-0.15,0.05,1000000,0.5,0.18253014067070739,0.03472329564909593,-0.4576844736855197,0.17639050616428753,0.27552898415719534,3224,0.0018564017757307211,1.0,99.8056206088993,0,452.6174863387978,12,0.07586732267643999
mom10_sell15_buy00_liq1000000_p0_5,10,-0.15,0.0,1000000,0.5,0.12631375378727916,0.02451332056250477,-0.3955454212724563,0.16573717359535273,0.22430344720978515,3300,0.0009422939356426521,1.0,99.903981264637,0,1168.392661982826,30,0.061973465610210436
mom40_sell15_buy02_liq1000000_p0_5,40,-0.15,0.02,1000000,0.5,0.13271151995730457,0.026108150841503308,-0.44374105793536156,0.20935975745307991,0.2242871189467005,3512,0.0012348224970313505,1.0,99.87390959555908,0,1045.7264076130054,40,0.05883645512312815
mom40_sell15_buy05_liq1000000_p0_5,40,-0.15,0.05,1000000,0.5,0.1011569070366869,0.020129701432378244,-0.45602771374902296,0.20128479054279394,0.19703431872839355,3554,0.002317995989577758,1.0,99.75337034099921,0,815.4758128469468,31,0.04414139936121672
mom40_sell15_buy00_liq1000000_p0_5,40,-0.15,0.0,1000000,0.5,-0.1439310288120006,-0.03163020151308038,-0.5616981998109201,0.2189377723594213,-0.031830785243790106,3490,0.0008595503346048959,1.0,99.9127676447264,0,1207.7153053132436,47,-0.0563117373773457
