timestamp,symbol,phase,elapsed_ms,elapsed_s,success,message
2026-08-17T12:10:36.233,L09.XFRA,historical-SMART,1358,1.358,false,IBKR-Fehler 162: Service für historische Marktdaten - Fehlermeldung:Die HMDS-Anfrage ergab keine Daten: L09@SMART Trades
2026-08-17T12:10:36.917,L09.XFRA,snapshot-SMART,686,0.686,true,IBKR-Snapshot fuer L09 wurde empfangen.
2026-08-17T12:10:37.700,L0A.XFRA,historical-SMART,282,0.282,false,IBKR-Fehler 2188: Up-to-the-second historical data requires additional subscription for the API.
2026-08-17T12:10:38.153,L0A.XFRA,snapshot-SMART,453,0.453,true,IBKR-Snapshot fuer DEEZR wurde empfangen.
2026-08-17T12:10:39.317,L2G.XFRA,historical-FWB2,343,0.343,true,IBKR-Quotes fuer L2G wurden empfangen.
2026-08-17T12:10:40.061,L34.XFRA,historical-SMART,280,0.280,false,IBKR-Fehler 2188: Up-to-the-second historical data requires additional subscription for the API.
2026-08-17T12:10:40.966,L34.XFRA,snapshot-SMART,906,0.906,true,IBKR-Snapshot fuer IBS wurde empfangen.
2026-08-17T12:10:41.894,L3L2.XFRA,historical-FWB,313,0.313,false,IBKR-Fehler 162: Service für historische Marktdaten - Fehlermeldung:Die HMDS-Anfrage ergab keine Daten: L3L2@FWB Trades
2026-08-17T12:10:42.743,L3L2.XFRA,snapshot-FWB,843,0.843,true,IBKR-Snapshot fuer L3L2 wurde empfangen.
2026-08-17T12:10:43.833,L3R.XFRA,historical-FWB2,406,0.406,true,IBKR-Quotes fuer 82H wurden empfangen.
2026-08-17T12:10:44.681,L73.XFRA,historical-FWB,391,0.391,false,IBKR-Fehler 162: Service für historische Marktdaten - Fehlermeldung:Die HMDS-Anfrage ergab keine Daten: L73@FWB Trades
2026-08-17T12:10:45.451,L73.XFRA,snapshot-FWB,766,0.766,true,IBKR-Snapshot fuer L73 wurde empfangen.
2026-08-17T12:10:46.528,L7H.XFRA,historical-SMART,297,0.297,false,IBKR-Fehler 2188: Up-to-the-second historical data requires additional subscription for the API.
2026-08-17T12:10:47.496,L7H.XFRA,snapshot-SMART,968,0.968,true,IBKR-Snapshot fuer ISC wurde empfangen.
2026-08-17T12:10:48.300,L8J.XFRA,historical-SMART,296,0.296,false,IBKR-Fehler 2188: Up-to-the-second historical data requires additional subscription for the API.
2026-08-17T12:10:49.183,L8J.XFRA,snapshot-SMART,875,0.875,true,IBKR-Snapshot fuer BANI wurde empfangen.
2026-08-17T12:10:50.074,LAG.XFRA,historical-SMART,282,0.282,false,IBKR-Fehler 2188: Up-to-the-second historical data requires additional subscription for the API.
2026-08-17T12:10:50.517,LAG.XFRA,snapshot-SMART,437,0.437,true,IBKR-Snapshot fuer MMB wurde empfangen.
2026-08-17T12:10:51.299,LAO.XFRA,historical-SMART,280,0.280,false,IBKR-Fehler 2188: Up-to-the-second historical data requires additional subscription for the API.
2026-08-17T12:10:52.082,LAO.XFRA,snapshot-SMART,781,0.781,true,IBKR-Snapshot fuer LAB wurde empfangen.
2026-08-17T12:10:52.895,LAZ.XFRA,historical-FWB,313,0.313,false,IBKR-Fehler 162: Service für historische Marktdaten - Fehlermeldung:Die HMDS-Anfrage ergab keine Daten: LAZ@FWB Trades
