Symbol,ISIN,Name,marketplace_sym,marketplace_exchange,marketplace_turnover,marketplace_last_error
8JH.XFRA,SE0015195888,THUNDERFUL GROUP SK,THUNDR.XSTO/XSTO,XSTO,6857327.1000,Marketstack-Validierung: Symbol/MIC nicht gefunden
8KW.XFRA,GB00BLR71299,"JADESTONE ENERGY LS -,001",JSE.XLON/XLON,XLON,367223520.9000,Marketstack-Validierung: Symbol/MIC nicht gefunden
8LP1.XFRA,US5168062058,VITAL ENERGY INC,VTLE/XNYS,XNYS,148636432.2000,Marketstack-Validierung: Symbol/MIC nicht gefunden
8LY.XFRA,SE0015504097,ONCOZENGE AB,ONCOZ.XSTO/XSTO,XSTO,437852.3400,Marketstack-Validierung: Symbol/MIC nicht gefunden
8OS.XFRA,FI4000517461,WITTED MEGACORP OYJ EO 1,WITTED.XHEL/XHEL,XHEL,183786.3700,Marketstack-Validierung: Symbol/MIC nicht gefunden
8OX1.XFRA,SG2F25986140,OXLEY HOLDINGS LTD,5UX.XSES/XSES,XSES,1856416.3000,Marketstack-Validierung: Symbol/MIC nicht gefunden
8P7.XFRA,PLGMSOP00019,"GAMES OPERATORS SA ZY-,10",GOP.XWAR/XWAR,XWAR,375097.5500,Marketstack-Validierung: Symbol/MIC nicht gefunden
8QM.XFRA,PLAPATR00018,"APATOR B ZY 0,10",APT.XWAR/XWAR,XWAR,2113792.5000,Marketstack-Validierung: Symbol/MIC nicht gefunden
8R9.XFRA,GB00BNYKB709,KITWAVE GROUP PLC LS -01,KITW.XLON/XLON,XLON,403060133.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
8V6.XFRA,SE0009242654,NEEM'S HILL AB,8V6.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht (Scandinavian ChemoTech AB)
8XA.XFRA,SE0009269467,ACTIC GROUP AB CLA,ATIC.XSTO/XSTO,XSTO,204357.9000,Marketstack-Validierung: Symbol/MIC nicht gefunden
905.XFRA,DK0061536828,IMPERO A/S DK -10,IMPERO.XCSE/XCSE,XCSE,95686.0800,Marketstack-Validierung: Symbol/MIC nicht gefunden
91N0.XFRA,PLDADEL00013,"DADELO S.A. ZY -,20",DAD.XWAR/XWAR,XWAR,9347761.1000,Marketstack-Validierung: Symbol/MIC nicht gefunden
927.XFRA,SE0015657895,KRONA PUBLIC REAL ESTATE,KRONA.XSTO/XSTO,XSTO,6478885.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
92I.XFRA,NO0010808405,ROMERIKE SPAREBANK NK 100,ROMER.XOSL/XOSL,XOSL,192536.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
946.XFRA,CA9229321083,VELAN INC.SV,VLN.XTSE/XTSE,XTSE,233183.3600,Marketstack-Validierung: Symbol/MIC nicht gefunden
94H.XFRA,SE0015962147,PROFOTO HOLDING AB,PRFO.XSTO/XSTO,XSTO,3087658.4000,Marketstack-Validierung: Symbol/MIC nicht gefunden
94L.XFRA,PLLCCRP00017,DEVELIA S.A. INH. ZY 1,DVL.XWAR/XWAR,XWAR,15358913.2000,Marketstack-Validierung: Symbol/MIC nicht gefunden
95B.XFRA,JP3862800004,MAKINO MILLG MACH.,95B.XFRA/XFRA,XFRA,0.0000,"Marketstack-Validierung: Name passt nicht (Makino Milling Machine Co., Ltd.)"
95D.XFRA,GB00BLH37Y17,"ACTIVEOPS PLC LS -,001",AOM.XLON/XLON,XLON,7104655.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
95N.XFRA,SG1Q02920318,"PLACE HOLDINGS SD -,05",95N.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht (The Place Holdings Limited)
97L.XFRA,US75282U1043,"RANGER ENER.SERV.A DL-,01",97L.XFRA/XFRA,XFRA,0.0000,"Marketstack-Validierung: Name passt nicht (Ranger Energy Services, Inc.)"
98Y.XFRA,MX01SI0C0002,OPERADORA DE SITES MEX- A-1,SITES1A-1.XMEX/XMEX,XMEX,36575194.9800,Marketstack-Validierung: Symbol/MIC nicht gefunden
996.XFRA,ZAE000202610,RENERGEN LTD CDI/1:1,REN.XJSE/XJSE,XJSE,10684041967.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
999.XFRA,SE0016278154,HILBERT GROUP AB B,HILB.B.XSTO/XSTO,XSTO,8108773.1200,Marketstack-Validierung: Symbol/MIC nicht gefunden
99H.XFRA,FI4000506902,MERUS POWER OYJ EO 1,MERUS.XHEL/XHEL,XHEL,112270.8800,Marketstack-Validierung: Symbol/MIC nicht gefunden
9AB.XFRA,GB00B06KBB18,ARKADIAN STRATEGIC METALS PL,9AB.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht ()
9BP.XFRA,GB00BYM1K758,ON THE BEACH GRP LS 001,OTB.XLON/XLON,XLON,324773188.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
9CI0.XFRA,BMG253431073,COSAN S.A. SP.ADR 1/4,9CI0.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht (Cosan S.A.)
9DP.XFRA,PLERBUD00012,"ERBUD S.A. INH. ZY-,10",9DP.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht (Erbud S.A.)
9E80.XFRA,GB00BTTQ2F04,RC FORNAX PLC,9E80.XFRA/XFRA,XFRA,15520.5480,Marketstack-Validierung: Name passt nicht (Fortnox AB)
9ES.XFRA,GB00BD8QVC95,"LOGISTICS DEV.GRP. LS-,01",LDG.XLON/XLON,XLON,76360164.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
9EU.XFRA,AU000000EPM8,ECLIPSE METALS LTD,EGLPF/PINC,PINC,125994.8186,Marketstack-Validierung: Symbol/MIC nicht gefunden
9F1.XFRA,SE0015961826,DIAGONAL BIO AB,DIABIO.XSTO/XSTO,XSTO,936562.1930,Marketstack-Validierung: Symbol/MIC nicht gefunden
9F9.XFRA,NO0010911902,ELEKTRO IMPORTOREN AS,9F9.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht ()
9FF.XFRA,DK0064532444,WINDOWMASTER INTL. DK 1,WMA.XCSE/XCSE,XCSE,384935.4200,Marketstack-Validierung: Symbol/MIC nicht gefunden
9G8.XFRA,SE0006758587,TRANSTEMA GROUP AB O.N.,TRANS.XSTO/XSTO,XSTO,5797841.4000,Marketstack-Validierung: Symbol/MIC nicht gefunden
9GR.XFRA,SE0006288015,GRANGES AB (PUBL),GRNG.XSTO/XSTO,XSTO,90558833.1500,Marketstack-Validierung: Symbol/MIC nicht gefunden
9HX.XFRA,SE0011167170,FREEMELT HOLDING AB,FREEM.XSTO/XSTO,XSTO,2775300.0700,Marketstack-Validierung: Symbol/MIC nicht gefunden
9HZ.XFRA,SE0010547786,BESQAB AB,BESQ.XSTO/XSTO,XSTO,374221.7000,Marketstack-Validierung: Symbol/MIC nicht gefunden
9JU.XFRA,PLGMNGF00017,"GAMING FAC. SA B ZY 0,1",9JU.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht (Gaming Factory S.A.)
9JX.XFRA,DK0061417730,BACTIQUANT A/S DK -05,BACTIQ.XCSE/XCSE,XCSE,442722.9900,Marketstack-Validierung: Symbol/MIC nicht gefunden
9K0.XFRA,GB00B196F554,"AVATION PLC LS-,01",AVAP.XLON/XLON,XLON,189228488.5000,Marketstack-Validierung: Symbol/MIC nicht gefunden
9KO.XFRA,SE0016276851,ARLANDASTAD GROUP AB,AGROUP.XSTO/XSTO,XSTO,289872.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
9LY.XFRA,SE0015812128,NORDISK BERGTEKNIK SER.B,NORB.B.XSTO/XSTO,XSTO,8375255.2500,Marketstack-Validierung: Symbol/MIC nicht gefunden
9MZ.XFRA,GB00BF1QPG26,"SPRINGFIELD PROP. LS-,125",SPR.XLON/XLON,XLON,20944658.5000,Marketstack-Validierung: Symbol/MIC nicht gefunden
9NY.XFRA,GB00BMH18Q19,"BYTES TECH.GRP LS -,01",9NY.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht (Bytes Technology Group plc)
9P7.XFRA,SE0013888831,EMBELLENCE GROUP AB O.N.,EMBELL.XSTO/XSTO,XSTO,496378.3000,Marketstack-Validierung: Symbol/MIC nicht gefunden
9PU.XFRA,PLGLBLC00011,DM GROUP SA,9PU.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht (Dr. Miele Cosmed Group S.A.)
9QZ.XFRA,GB00BF2G3L29,"ANEXO GROUP PLC LS-,0005",ANX.XLON/XLON,XLON,32891518.5000,Marketstack-Validierung: Symbol/MIC nicht gefunden
9R1.XFRA,PLAMICA00010,AMICA S.A. ZY 2,AMC.XWAR/XWAR,XWAR,7229637.8000,Marketstack-Validierung: Symbol/MIC nicht gefunden
9RI.XFRA,SE0015812524,SOZAP AB,SOZAP.XSTO/XSTO,XSTO,876635.6600,Marketstack-Validierung: Symbol/MIC nicht gefunden
9RP.XFRA,SE0015382072,LIPIGON PHARMA. AB,LPGO.XSTO/XSTO,XSTO,4034916.0460,Marketstack-Validierung: Symbol/MIC nicht gefunden
9S2.XFRA,GB00BYSXWW41,"MIDWICH GROUP PLC LS-,01",MIDW.XLON/XLON,XLON,144760162.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
9TB.XFRA,CA6572805092,NORTH ARROW MINERALS INC,9TB.XFRA/XFRA,XFRA,27245.7500,Marketstack-Validierung: Symbol/MIC nicht gefunden
9X7.XFRA,GB00BL9ZF303,PETERSHILL PARTNERS -01,PHLL.XLON/XLON,XLON,410819113.4000,Marketstack-Validierung: Symbol/MIC nicht gefunden
9XJ.XFRA,PLDTLGM00019,VOLARIA AI SA,9XJ.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht (Detalion Games S.A.)
9ZJ.XFRA,SE0013382066,QLEANAIR AB SK-50,QAIR.XSTO/XSTO,XSTO,8135779.8500,Marketstack-Validierung: Symbol/MIC nicht gefunden
9ZK.XFRA,PLCNSLB00012,CONSOLE LABS SA ZY-10,CLA.XWAR/XWAR,XWAR,42813.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
A2P.XFRA,PLSNKTK00019,SYNEKTIK SA,SNT.XWAR/XWAR,XWAR,222156954.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
A3J.XFRA,CA0010921058,AGF Management Limited,AGF-B.XTSE/XTSE,XTSE,64740117.5500,Marketstack-Validierung: Symbol/MIC nicht gefunden
A8H.XFRA,CA0030691012,Aberdeen International Inc,FAP.XTSE/XTSE,XTSE,454865.7600,Marketstack-Validierung: Symbol/MIC nicht gefunden
A9F.XFRA,GB00BDHXPG30,Alfa Financial Software Holdings PLC,ALFA.XLON/XLON,XLON,242606943.5000,Marketstack-Validierung: Symbol/MIC nicht gefunden
A9Q.XFRA,GB00BD5JNK30,"AQUIS EXCHANGE PL LS-,1",AQX.XLON/XLON,XLON,37366015.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
AC3.XFRA,US69376K1060,RIDGEPOST CAPITAL INC-A,AC3.XFRA/XFRA,XFRA,0.0000,"Marketstack-Validierung: Name passt nicht (P10, Inc.)"
AC6.XFRA,SE0010133785,ALZECURE PHARMA AB,ALZCUR.XSTO/XSTO,XSTO,1049067.7600,Marketstack-Validierung: Symbol/MIC nicht gefunden
ADY.XFRA,US0234361089,"Amedisys, Inc",AMED/XNAS,XNAS,1032198562.4000,Marketstack-Validierung: Symbol/MIC nicht gefunden
AG6.XFRA,IL0010996549,Allot Ltd,ALLT.XTAE/XTAE,XTAE,541469413.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
AHC.XFRA,US42809H1077,HESS CORP. DL 1,HES/XNYS,XNYS,4201790303.5500,Marketstack-Validierung: Symbol/MIC nicht gefunden
AI2.XFRA,US0462241011,"ASTEC INDS INC. DL-,20",AI2.XFRA/XFRA,XFRA,0.0000,"Marketstack-Validierung: Name passt nicht (Astec Industries, Inc.)"
AJN.XFRA,KYG0192S1093,Ajisen (China) Holdings Limited,AJN.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht (Ajisen)
AKY.XFRA,MX01PI000005,PROMOTORA Y OPERADORA DE INF,PINFRA.XMEX/XMEX,XMEX,790202987.0400,Marketstack-Validierung: Symbol/MIC nicht gefunden
AOHA.XFRA,GB0033360586,Rua Life Sciences Plc,RUA.XLON/XLON,XLON,1056749.2500,Marketstack-Validierung: Symbol/MIC nicht gefunden
AT9.XFRA,SE0009242175,SEATWIRL AB O.N.,STW.XSTO/XSTO,XSTO,692132.8500,Marketstack-Validierung: Symbol/MIC nicht gefunden
ATR0.XFRA,BMG0684D1074,ATHENE HOLDING PRF.SER.C,ATR0.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht (Athene Holding Ltd.)
AV1.XFRA,EE3100034653,Arco Vara AS,ARC1T.XTAL/XTAL,XTAL,38517.8840,Marketstack-Validierung: Symbol/MIC nicht gefunden
AVK1.XFRA,HK0000084183,"AEON Stores (Hong Kong) Co., Limited",900.XHKG/XHKG,XHKG,6070268.2000,Marketstack-Validierung: Symbol/MIC nicht gefunden
AYS1.XFRA,CA80013R2063,Sandstorm Gold Ltd,SSL.XTSE/XTSE,XTSE,577224983.1100,Marketstack-Validierung: Symbol/MIC nicht gefunden
B0F.XFRA,SE0009806284,PAXMAN AB,PAX.XSTO/XSTO,XSTO,2188382.8000,Marketstack-Validierung: Symbol/MIC nicht gefunden
B1O.XFRA,GB00B0BRN552,BANGO PLC LS-20,BGO.XLON/XLON,XLON,212418099.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
B34.XFRA,GG00BYZSSY63,DUKE ROYALTY LTD,B34.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht (Duke Capital Limited)
B37.XFRA,SE0008347660,B3 CONSULTING GRP AB O.N.,B3.XSTO/XSTO,XSTO,15864053.1000,Marketstack-Validierung: Symbol/MIC nicht gefunden
B3M.XFRA,FI0009007991,SOLTEQ OYJ,SOLTEQ.XHEL/XHEL,XHEL,179992.4230,Marketstack-Validierung: Symbol/MIC nicht gefunden
B46.XFRA,KYG4914A1076,INTRON TECH.HLDGS HD -01,B46.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht (Intron Technology Holdings Limited)
B4X.XFRA,TH6999010015,Bangkok Expressway and Metro Public Company Limite,BBL.XBKK/XBKK,XBKK,46881810301.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
B5T.XFRA,GB00B08F4599,Borders & Southern Petroleum plc,BOR.XLON/XLON,XLON,4864096.1975,Marketstack-Validierung: Symbol/MIC nicht gefunden
B9C.XFRA,SE0010323998,BALCO GROUP AB,BALCO.XSTO/XSTO,XSTO,2215917.7000,Marketstack-Validierung: Symbol/MIC nicht gefunden
BAV.XFRA,IL0010849045,"BATM ADV. COMMCTNS IS-,01",BAV.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht (BATM Advanced Communications Ltd.)
BBA.XFRA,GB00B1GVQH21,SYSTEM1 GROUP LS-01,SYS1.XLON/XLON,XLON,9737660.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
BIO3.XFRA,DE000A3E5ES0,BIOTEST AG VZ O.N.,BIO3.XETRA/XETRA,XETRA,525991.8000,Marketstack-Validierung: Symbol/MIC nicht gefunden
BN5.XFRA,GB00B1CKQD97,Bezant Resources Plc,BZT.XLON/XLON,XLON,2216584.4850,Marketstack-Validierung: Symbol/MIC nicht gefunden
BO6.XFRA,SE0014583332,BOMILL AB,BOMILL.XSTO/XSTO,XSTO,207283.7920,Marketstack-Validierung: Symbol/MIC nicht gefunden
BPFG.XFRA,TH0148A10Z14,BANPU PCL -FGN- BA 1,BPFG.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht (Banpu Public Company Limited)
BTA.XFRA,GB00B0305S97,BTG CONSULTING PLC,BTA.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht (Begbies Traynor Group plc)
BYXB.XFRA,DK0010247956,BRONDBYERNES IF FODBOLD A/S,BIF.XCSE/XCSE,XCSE,3186098.4600,Marketstack-Validierung: Symbol/MIC nicht gefunden
BYY.XFRA,SE0003303627,Byggmax Group AB (publ),BMAX.XSTO/XSTO,XSTO,21880765.9200,Marketstack-Validierung: Symbol/MIC nicht gefunden
C099.XFRA,LU0378435043,ComStage - CBK Commodity ex-Agriculture Monthly EU,C099.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht (Lyxor Bloomberg Equal-weight Commodity ex-Agricult)
C3W.XFRA,KYG2163M1033,CHINA EDUCATION GROUP HOLDINGS,C3W.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht ()
C4X.XFRA,SUBONXEO2103,Onxeo SA,C4X.XFRA/XFRA,XFRA,38151.4000,Marketstack-Validierung: Name passt nicht (Valerio Therapeutics Société anonyme)
C5G.XFRA,SE0000736415,Orexo AB (publ),ORX.XSTO/XSTO,XSTO,1990961.2800,Marketstack-Validierung: Symbol/MIC nicht gefunden
C72.XFRA,FI4000092523,EAGLE FILTERS GROUP OYJ A,EAGLE.XHEL/XHEL,XHEL,37026.9850,Marketstack-Validierung: Symbol/MIC nicht gefunden
CCP.XFRA,GB0004339189,CELTIC PLC LS 001,CCP.XLON/XLON,XLON,8659681.5000,Marketstack-Validierung: Symbol/MIC nicht gefunden
CD20.XFRA,SE0015245535,NELLY GROUP AB,NELLY.XSTO/XSTO,XSTO,5689819.4000,Marketstack-Validierung: Symbol/MIC nicht gefunden
CE2.XFRA,DE000A3EX2P3,CROPENERGIES AG,CE2.XETRA/XETRA,XETRA,8406115.5000,Marketstack-Validierung: Symbol/MIC nicht gefunden
CK5A.XFRA,CA1819013071,CLARKE INC.,CKI.XTSE/XTSE,XTSE,1037983.6400,Marketstack-Validierung: Symbol/MIC nicht gefunden
CMF.XFRA,GB0001667087,"CAMELLIA PLC LS-,10",CAM.XLON/XLON,XLON,18287110.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
CMID.XFRA,IT0005428971,COMAL SPA,CMID.XFRA/XFRA,XFRA,27.0000,Marketstack-Validierung: Name passt nicht (CaNickel Mining Limited)
CMJ.XFRA,HK0119000674,"Poly Property Group Co., Limited",0119.XHKG/XHKG,XHKG,35672800.4400,Marketstack-Validierung: Symbol/MIC nicht gefunden
COF.XFRA,BE0003593044,Cofinimmo SA,COFB.XBRU/XBRU,XBRU,38450990.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
COPA.XFRA,DE000A40UTN2,COMPUGROUP MED.SP.ADR 1,COP.XETRA/XETRA,XETRA,15278748.0200,Marketstack-Validierung: Symbol/MIC nicht gefunden
CPD.XFRA,GB00B12WC938,CADOGAN ENERGY SOLUTIONS,CAD.XLON/XLON,XLON,193974.4000,Marketstack-Validierung: Symbol/MIC nicht gefunden
CQH3.XFRA,HK0131037993,CHEUK NANG CONS.,0131.XHKG/XHKG,XHKG,1680.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
CS4.XFRA,HK0000056264,China South City Holdings Limited,1055.XHKG/XHKG,XHKG,156740597.3300,Marketstack-Validierung: Symbol/MIC nicht gefunden
CSQ.XFRA,DE000A41YEG8,CREDITSHELF AG IA O.N.,CSQ.XETRA/XETRA,XETRA,1601.6000,Marketstack-Validierung: Symbol/MIC nicht gefunden
CUAN.XFRA,GB00BF93WP34,"CYANCONNODE HLDGS LS-,02",CYAN.XLON/XLON,XLON,33579605.9750,Marketstack-Validierung: Symbol/MIC nicht gefunden
CW0.XFRA,ES0105748000,URBANIZADORA CONSTRUCTORA LE,CW0.XFRA/XFRA,XFRA,2864.0000,Marketstack-Validierung: Name passt nicht (Urban Logistics REIT plc)
CWF.XFRA,SG2C90967473,OneApex Limited,5SY.XSES/XSES,XSES,1205.8000,Marketstack-Validierung: Symbol/MIC nicht gefunden
CX40.XFRA,CA7594041062,REITMANS CDA LTD,RET-A.XTSE/XTSE,XTSE,484027.5450,Marketstack-Validierung: Symbol/MIC nicht gefunden
CZTA.XFRA,US1628282063,CHECKPOINT THER. DL-0001,CKPT/XNAS,XNAS,143718834.9150,Marketstack-Validierung: Symbol/MIC nicht gefunden
D05.XFRA,US2439931518,"Deciphera Pharmaceuticals, Inc",D05.XFRA/XFRA,XFRA,2030706132.8000,Marketstack-Validierung: Symbol/MIC nicht gefunden
D1F.XFRA,SE0001634262,DIOS FASTIGHETER AB,DIOS.XSTO/XSTO,XSTO,128193717.4500,Marketstack-Validierung: Symbol/MIC nicht gefunden
D2V.XFRA,DK0010237643,PARKEN Sport & Entertainment A/S,PARKEN.XCSE/XCSE,XCSE,6394112.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
D60.XFRA,GB00BMFR8J48,HYDROGEN UTOPIA INT.-001,HUI.XLON/XLON,XLON,4267618.2500,Marketstack-Validierung: Symbol/MIC nicht gefunden
D6M.XFRA,GB00B1VKB244,"GENEDRIVE PLC LS -,015",GDR.XLON/XLON,XLON,49928462.4900,Marketstack-Validierung: Symbol/MIC nicht gefunden
D6XV.XFRA,CA96810C2004,WILDBRAIN LTD VAR VTG,WILD.XTSE/XTSE,XTSE,627144.4200,Marketstack-Validierung: Symbol/MIC nicht gefunden
DDU.XFRA,DK0060477263,ASETEK A/S,ASTK.XCSE/XCSE,XCSE,8170666.2600,Marketstack-Validierung: Symbol/MIC nicht gefunden
DGV2.XFRA,CA0025555065,ABACUS MNG,DGV2.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht (Abacus Mining &amp; Exploration Corporation)
DH1.XFRA,SE0011311554,DIVIO TECHNOLOGIES AB,DIVIO.B.XSTO/XSTO,XSTO,399831.1800,Marketstack-Validierung: Symbol/MIC nicht gefunden
DK8.XFRA,JP3481300006,DAIKYONISHIKAWA CORP.,DK8.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht ()
DML.XFRA,DE000A37FUH9,SYNLAB AG,SYAB.XETRA/XETRA,XETRA,5420987.3400,Marketstack-Validierung: Symbol/MIC nicht gefunden
DR8A.XFRA,SE0028778613,Doro AB (publ),DORO.XSTO/XSTO,XSTO,997178.2500,Marketstack-Validierung: Symbol/MIC nicht gefunden
DRC.XFRA,SE0000331266,Duroc AB (publ),DURC-B.XSTO/XSTO,XSTO,1106004.9500,Marketstack-Validierung: Symbol/MIC nicht gefunden
DTT.XFRA,ZAE000017745,"DATATEC LTD RC-,01",DTC.XJSE/XJSE,XJSE,4433631691.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
DU3.XFRA,SE0017232838,VUXEN GROUP AB,DU3.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht (Purefun Group AB)
DWV.XFRA,GB0034330679,CELLBXHEALTH PLC,DWV.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht (ANGLE plc)
DXSV.XFRA,LU0321463258,X EURZ GOV BOND SHRT SWAP 1C,DXSV.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht (Xtrackers II Eurozone Government Bond Short Daily )
E1V.XFRA,NO0010263023,"EIDESVIK OFFSHORE NK -,05",EIOF.XOSL/XOSL,XOSL,10416343.8200,Marketstack-Validierung: Symbol/MIC nicht gefunden
E5E.XFRA,SE0006509949,Eltel AB (publ),ELTEL.XSTO/XSTO,XSTO,428901.4600,Marketstack-Validierung: Symbol/MIC nicht gefunden
E9P1.XFRA,CA2768555096,EASTERN PLATINUM LTD,ELR.XTSE/XTSE,XTSE,245448.9100,Marketstack-Validierung: Symbol/MIC nicht gefunden
EA2.XFRA,NO0013601245,EAM Solar ASA,EAM.XOSL/XOSL,XOSL,1909237.1600,Marketstack-Validierung: Symbol/MIC nicht gefunden
EGCA.XFRA,US28225C8064,EGAIN - Frankfurt Stock Exchang,EGCA.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht ()
EIY.XFRA,CA66660C1059,NORTHPALM CAPITAL CORP,EIY.XFRA/XFRA,XFRA,1660.4695,Marketstack-Validierung: Name passt nicht (Scryb Inc.)
EJR0.XFRA,CA74370G2009,PROTIUM CLEAN ENERGY CORP,EJR0.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht (East Japan Railway Company)
EO0.XFRA,CA1364271017,CANADIAN NORTH RESOURCES,CM.XTSE/XTSE,XTSE,3978668206.8300,Marketstack-Validierung: Symbol/MIC nicht gefunden
EPL.XFRA,FI0009008650,ETTEPLAN OYI,ETTE.XHEL/XHEL,XHEL,51830.7500,Marketstack-Validierung: Symbol/MIC nicht gefunden
EVY.XFRA,GB00BFH55S51,Everyman Media Group plc,EMAN.XLON/XLON,XLON,7465367.5000,Marketstack-Validierung: Symbol/MIC nicht gefunden
EY7.XFRA,SE0016786040,W5 SOLUTIONS AB,W5.XSTO/XSTO,XSTO,10964724.7000,Marketstack-Validierung: Symbol/MIC nicht gefunden
EZ8.XFRA,FI4000533005,KOSKISEN OYJ EO 1,KOSKI.XHEL/XHEL,XHEL,178208.1100,Marketstack-Validierung: Symbol/MIC nicht gefunden
EZB.XFRA,US2941001024,"Enzo Biochem, Inc",ENZ/XNYS,XNYS,279159.1698,Marketstack-Validierung: Symbol/MIC nicht gefunden
F0Z.XFRA,GB00BN7F1618,ENSILICA PLC LS-001,ENSI.XLON/XLON,XLON,24968301.5000,Marketstack-Validierung: Symbol/MIC nicht gefunden
F3J.XFRA,SE0001338039,LASERNET GROUP AB,F3J.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht (Formpipe Software AB)
F51.XFRA,PLFRMGR00015,FARM 51 GROUP S.A.ZY -10,F51.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht ()
F5H.XFRA,SE0010832287,KLARABO SVERIGE AB,KLARA-B.XSTO/XSTO,XSTO,5948368.7400,Marketstack-Validierung: Symbol/MIC nicht gefunden
F5U.XFRA,IL0011015349,Cellcom Israel Ltd,CEL.XTAE/XTAE,XTAE,7210948301.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
FAU.XFRA,US31209D1054,Faurecia S.E,FAU.XFRA/XFRA,XFRA,2664.1400,Marketstack-Validierung: Name passt nicht (Forvia SE)
FBLM.XFRA,GB00BD0CWJ91,FIH GROUP PLC,FIH.XLON/XLON,XLON,3195795.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
FCV.XFRA,JP3166900005,FCC CO LTD,FCV.XFRA/XFRA,XFRA,0.0000,"Marketstack-Validierung: Name passt nicht (F.C.C. Co., Ltd.)"
FD8.XFRA,PLDEBCA00016,FIRMA OPON.DEBICA SA ZY 8,FD8.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht (Tire Company Debica S.A.)
FGPN.XFRA,US0231398845,OCTAVE SPECIALTY GROUP INC,FGPN.XFRA/XFRA,XFRA,0.0000,"Marketstack-Validierung: Name passt nicht (Ambac Financial Group, Inc.)"
FJV.XFRA,GB0002183191,CONCURRENT TECH. LS-01,CNC.XLON/XLON,XLON,40781972.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
FKV1.XFRA,IE00BZ4BTZ13,CONROY GOLD+N.RES EO-001,FKV1.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht ()
FMP.XFRA,CA34967D1015,Fortune Minerals Limited,FT.XTSE/XTSE,XTSE,418604.2125,Marketstack-Validierung: Symbol/MIC nicht gefunden
