Symbol,ISIN,Name,marketplace_sym,marketplace_exchange,marketplace_turnover,marketplace_last_error
2JW.XFRA,CA4707481046,JAMIESON WELLNESS INC.,,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
2LS.XFRA,ID1000129208,SILOAM INTL HOS. RP 125,,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
31K.XFRA,IT0005443061,ACQUAZZURRA SPA,,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
34S0.XFRA,CA66744H1047,NORTHWEST COPPER CORP.,,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
3KF.XFRA,CA05335P1099,Auxly Cannabis Group Inc,,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
3MJ.XFRA,CA5609091031,Major Drilling Group International Inc,,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
3R2.XFRA,CA76329W1032,RICHELIEU HARDWARE,,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
3UD.XFRA,CA42328X1042,HELIOS FAIRFAX PARTNERS,,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
44P.XFRA,SE0007692157,POLYGIENE AB,,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
46P1.XFRA,GB00B2NGPM57,Paragon Banking Group PLC,,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
47TA.XFRA,DE000A409732,TISCON AG,,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
49U.XFRA,FI4000410758,Musti Group Oyj,,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
4A1.XFRA,SE0008241558,CERENO SCIENTIFIC AB B,,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
4CM.XFRA,HK0000748381,YESASIA HOLDINGS LTD,,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
4FN.XFRA,MXP370711014,"Grupo Financiero Banorte, S.A.B. de C.V",,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
4FV.XFRA,MXP4984U1083,"Grupo Simec, S.A.B. de C.V",,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
4FX.XFRA,MXP606941179,KIMBERLY-CLARK DE MEX. A,,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
4FY.XFRA,MXP370641013,"Grupo Financiero Inbursa, S.A.B. de C.V",,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
4H6.XFRA,ZAE000096210,Hulamin Limited,,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
4HV0.XFRA,CA5652973069,MAPLE LEAF GREEN WORLD,,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
4KM.XFRA,GB00BD7V5D43,KROMEK GROUP PLC LS -01,,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
4QG.XFRA,NO0010405640,PCI BIOTECH ASA NK 3,,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
4QU.XFRA,FI4000480504,ORTHEX OYJ EO 1,,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
4R6.XFRA,SE0007665823,RESURS HOLDING AB,,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
4SA.XFRA,SE0009189608,ACOUSORT AB O.N.,,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
4T7.XFRA,CA87402A1084,TAIGA BUILDING PRODS,,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
4V9.XFRA,CA1363431000,CANADIAN MANGANESE CO.INC,,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
4VI.XFRA,PLGNMTC00017,GENOMTEC S.A. ZY -10,,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
4YD.XFRA,SE0005454873,NANOLOGICA AB,,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
4YM.XFRA,PLLVMGM00016,LIVE MOTION GAMES ZY -10,,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
4ZT0.XFRA,NO0012555459,ENDUR ASA NK 050,,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
50O.XFRA,DK0061273125,SHAPE ROBOTICS A/S DK-10,,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
50V.XFRA,SE0009242555,AINO HEALTH AB O.N.,,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
52D0.XFRA,CA97818W1077,WONDERFI TECHNOLOGIES INC,,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
557.XFRA,CA86863R1055,SUPREMEX INC.,,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
5BT.XFRA,CA0728191051,BAYLIN TECHNOLOGIES,,,,Marketstack-Validierung: Symbol/MIC nicht gefunden
5C6.XFRA,SG1EB6000000,CLEARBRIDGE HEALTH LTD,1H3.XSES/XSES,XSES,100388.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
5CA.XFRA,CA2073241044,Conifex Timber Inc,CFF.XTSE/XTSE,XTSE,45941.8150,Marketstack-Validierung: Symbol/MIC nicht gefunden
5CL.XFRA,SE0007277876,WISE GROUP AB SK-20,WISE.XSTO/XSTO,XSTO,714843.1000,Marketstack-Validierung: Symbol/MIC nicht gefunden
5F0.XFRA,JP3276400003,GUNMA BK LTD,5F0.XFRA/XFRA,XFRA,0.0000,"Marketstack-Validierung: Name passt nicht (The Gunma Bank, Ltd.)"
5FD.XFRA,GB00BBT32N39,"FRONTIER DEVELOP. LS -,05",FDEV.XLON/XLON,XLON,397049130.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
5HS.XFRA,SE0015504477,FRACTAL GAMING GROUP AB,FRACTL.XSTO/XSTO,XSTO,4751704.4000,Marketstack-Validierung: Symbol/MIC nicht gefunden
5I2.XFRA,GB00BXB07J71,GATELEY (HLDGS) LS -10,GTLY.XLON/XLON,XLON,99810008.5000,Marketstack-Validierung: Symbol/MIC nicht gefunden
5I4.XFRA,GB00BF8J3Z99,BAKKAVOR GRP PLC LS -1,BAKK.XLON/XLON,XLON,193341379.6000,Marketstack-Validierung: Symbol/MIC nicht gefunden
5IJ.XFRA,DK0060816148,UNLIMIT GROUP A/S,5IJ.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht (Conferize A/S)
5J4.XFRA,SUBSAV211025,Savosolar Oyj,5J4.XFRA/XFRA,XFRA,180.0000,Marketstack-Validierung: Name passt nicht (Meriaura Group Oyj)
5K8.XFRA,GB0002341666,POTTER & MOORE PLC,5K8.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht (Creightons Plc)
5K9.XFRA,GB0000600931,BRAEMAR PLC,BMS.XLON/XLON,XLON,502269426.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
5KC.XFRA,SE0015988274,PILA PHARMA AB,PILA.XSTO/XSTO,XSTO,110467.8150,Marketstack-Validierung: Symbol/MIC nicht gefunden
5KW.XFRA,GB00BF33H870,SKINBIOTHERAPEUTICS PLC,SBTX.XLON/XLON,XLON,26243294.5000,Marketstack-Validierung: Symbol/MIC nicht gefunden
5LN.XFRA,SE0010520155,ROLLING OPTICS HOLDING AB,RO.XSTO/XSTO,XSTO,180409.8040,Marketstack-Validierung: Symbol/MIC nicht gefunden
5N91.XFRA,AU000000AGR4,AGUIA RES LTD AD-20,5N91.XFRA/XFRA,XFRA,22384.5950,Marketstack-Validierung: Name passt nicht (Aguia Resources Limited)
5NN.XFRA,DK0060580512,NNIT A/S NAM. DK 10,5NN.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht (NNIT A/S)
5R9.XFRA,HK0000746575,YUEXIU SERVICES GROUP LTD,6626.XHKG/XHKG,XHKG,18476080.0600,Marketstack-Validierung: Symbol/MIC nicht gefunden
5S0.XFRA,CA8841213025,THINKIFIC LABS INC.,THNC.XTSE/XTSE,XTSE,183537.1750,Marketstack-Validierung: Symbol/MIC nicht gefunden
5TW.XFRA,SE0007387246,LITIUM AB SK1,LITI.XSTO/XSTO,XSTO,1640110.9600,Marketstack-Validierung: Symbol/MIC nicht gefunden
5VZ.XFRA,NO0003572802,ARENDALS FOSSEKOM. NK 4,AFK.XOSL/XOSL,XOSL,21535592.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
5Z4.XFRA,PLGEOTR00010,GEOTRANS S.A. ZY -10,GTS.XWAR/XWAR,XWAR,281144.9000,Marketstack-Validierung: Symbol/MIC nicht gefunden
61B.XFRA,SE0015949037,HEIMSTADEN AB PR.SHS O.N.,HEIM-PREF.XSTO/XSTO,XSTO,8834482.2800,Marketstack-Validierung: Symbol/MIC nicht gefunden
