Variant,Year,Return,MaxDrawdown,StartNAV,EndNAV,EndStocks,EndCash
SELL_MINUS_10,2019,0.1372046648926577,-0.0804481004851415,0.9999999999999999,1.1372046648926575,100,0.0
SELL_MINUS_10,2020,0.24527463383146642,-0.2911496531835104,1.146717804264662,1.4279785938137002,100,0.0
SELL_MINUS_10,2021,0.1624339613481507,-0.22012976938578066,1.4171885076374522,1.6473880509100776,100,0.0
SELL_MINUS_10,2022,-0.04196599683072311,-0.19684337518314055,1.6549528800657156,1.5855011327458817,100,0.0
SELL_MINUS_10,2023,0.09407778100902009,-0.18690445716847104,1.5914246587212126,1.7411423592567414,100,0.0
SELL_MINUS_15,2019,0.1423393819477765,-0.0867285717811036,0.9999999999999999,1.1423393819477763,100,0.0
SELL_MINUS_15,2020,0.30393881753101093,-0.299553325824201,1.155940086011532,1.5072751488905722,100,0.0
SELL_MINUS_15,2021,0.20115323071066182,-0.1343826828534802,1.5167485918678218,1.8218474712978812,100,0.0
SELL_MINUS_15,2022,0.0605451478251926,-0.20682186903549904,1.8291253585832254,1.9398700238094553,100,0.0
SELL_MINUS_15,2023,0.23231616570384084,-0.1604842528115602,1.9391322332712597,2.3896239984975645,100,0.0
