Variant,Crash,PeakDate,TroughDate,ReturnToTrough,StocksAtTrough,CashAtTrough,EligibleAtTrough,ReturnPeakToPlus3M,StocksPlus3M,CashPlus3M,ReturnPeakToPlus6M,StocksPlus6M,CashPlus6M,ReturnPeakToPlus12M,StocksPlus12M,CashPlus12M
SELL_MINUS_10,Corona2020,2020-02-19,2020-03-23,-0.2811376033306493,74,0.27258297635082435,50,-0.11127760725385683,100,0.0,-0.05661939462546395,100,0.0,0.34867556624710794,100,0.0
SELL_MINUS_10,Bear2022,2022-01-03,2022-10-12,-0.10416630348177702,100,0.0,214,-0.0008887500460964537,100,0.0,-0.052250823069805774,100,0.0,-0.018001980147036356,100,0.0
SELL_MINUS_15,Corona2020,2020-02-19,2020-03-23,-0.28919363781965624,81,0.17353976891939707,50,-0.10076046461409227,100,0.0,0.00940736105630191,100,0.0,0.37069216726201804,100,0.0
SELL_MINUS_15,Bear2022,2022-01-03,2022-10-12,-0.012621123166498549,100,0.0,214,0.07379686016013443,100,0.0,0.049400358003544476,100,0.0,0.2967677651928289,100,0.0
